key	bonus_v_large	bonus_v_infantry	damage	ap_damage	weapon_length	melee_weapon_type	audio_type	splash_attack_target_size	splash_attack_max_attacks	splash_attack_power_multiplier	building_damage_multiplier	ignition_amount	is_magical	contact_phase	collision_attack_max_targets	collision_attack_max_targets_cooldown	melee_attack_interval	scaling_damage	is_spell
#melee_weapons_tables;25;db/melee_weapons_tables/ovn_fimir_only																			
fim_death_quest	0	0	25	20	2.0	axe	hammer		2	1.2	1.0	0.0	false		0	10	3.5		false
fim_bog_beast	0	0	65	45	3.0	axe	claw	large	4	1.0	1.0	0.0	false	wh_main_unit_contact_poison	0	10	3.6		false
wooden_arms	0	0	30	60	2.0	sword	claw	medium	6	1.3	1.0	0.0	false		0	10	3.8		false
fenhulk_claw	0	0	150	320	10.0	axe	claw	large	8	1.0	1.0	0.0	false		0	10	3.2		false
fim_skattach_staff	0	0	90	320	1.0	spear	staff	large	4	1.0	1.0	0.0	true	wh_dlc06_unit_contact_sundered_armour	0	10	4.0		false
fim_fimirach_noble_dual_maces	0	0	120	340	3.0	axe	axe	medium	5	1.3	1.25	0.0	true	wh_dlc06_unit_contact_sundered_armour	0	10	3.8		false
fim_fimirach_noble_bog_beast	0	0	120	340	3.0	axe	claw	large	5	1.3	1.25	0.0	true	wh_dlc06_unit_contact_sundered_armour	0	10	3.6		false
fim_gharnus_daemon_ror	0	0	31	69	2.0	axe	axe	medium	4	1.3	1.0	0.0	true	wh_dlc08_unit_contact_frostbite	0	10	3.8		false
fim_finmor_mace	0	20	220	180	3.0	axe	hammer	large	6	2.5	1.0	0.0	true	wh_dlc06_unit_contact_sundered_armour	0	10	4.0		false
fim_shearl	0	0	28	8	1.0	axe	claw		2	1.1	1.0	0.0	false		0	10	4.2		false
fim_moor_hound_fangs	0	0	17	3	1.0	knife	claw		1	1.0	1.0	0.0	true		0	10	4.6		false
fim_swamp_daemons	0	0	42	14	2.0	axe	claw		1	1.0	1.0	0.0	true	wh_main_unit_contact_poison	0	10	4.3		false
fim_daemonomaniac	30	0	100	400	6.0	axe	axe_huge	large	5	1.3	1.0	0.0	true		0	10	4.0		false
fim_daemonomaniac_ror	30	0	120	420	7.0	axe	sword_huge	large	5	1.0	1.0	0.0	true		0	10	4.0		false
fim_moor_hound_ror_fangs	0	0	27	13	1.0	axe	claw	medium	1	1.0	1.0	0.0	true		0	10	4.0		false
fim_bog_octopus	0	17	145	375	8.0	axe	claw	large	6	1.0	1.25	0.0	false	wh_main_unit_contact_poison	0	10	3.2		false
fim_daemon_octopus_kroll	0	20	140	440	9.0	axe	claw	large	7	1.0	1.25	0.0	false	wh_main_unit_contact_poison	0	10	3.2		false
