building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_fimir_buildings			
ovn_fimir_settlement_major		wh_main_set_settlement_major	false
ovn_fimir_settlement_minor		wh_main_set_settlement_minor	false
ovn_fimir_infantry		wh3_main_set_cth_military_recruitment	false
ovn_fimir_marsh		wh3_main_set_cth_military_recruitment	false
ovn_fimir_cavalry		wh3_main_set_cth_military_recruitment	false
ovn_fimir_fianna		wh3_main_set_cth_military_support	false
ovn_fimir_dirach		wh3_main_set_cth_military_support	false
ovn_fimir_daemons		wh3_main_set_cth_military_support	false
ovn_fimir_growth		wh3_main_set_cth_infrastructure	false
ovn_fimir_income		wh3_main_set_cth_infrastructure	false
ovn_fimir_order		wh3_main_set_cth_infrastructure	false
ovn_fimir_port		wh_main_set_port	false
ovn_fimir_walls_major		wh3_main_set_cth_defence	false
ovn_fimir_walls_minor		wh3_main_set_cth_defence	false
ovn_fimir_allied_outpost		wh3_main_set_test_allied_building	false
ovn_fimir_foreign_slot_discovery		wh3_main_set_cth_defence	false
ovn_fimir_agrul_migdhal_landmark		wh2_main_set_landmark	false
ovn_fimir_kroll_temple		wh2_main_set_landmark	false
