member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/ovn_fimir		
diplomacy_Subcult_fimir_rancor_hold_&_Positive	ACTOR	ovn_fim_rancor_hold
diplomacy_Subcult_fimir_rancor_hold_&_Negative	ACTOR	ovn_fim_rancor_hold
diplomacy_Subcult_fimir_rancor_hold	ACTOR	ovn_fim_rancor_hold
diplomacy_Subcult_fimir_tendrils_of_doom_&_Negative	ACTOR	ovn_fim_tendrils_of_doom
diplomacy_Subcult_fimir_tendrils_of_doom_&_Positive	ACTOR	ovn_fim_tendrils_of_doom
diplomacy_Subcult_fimir_tendrils_of_doom	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_rancor_hold_climate_chaotic	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_desert	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_frozen	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_island	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_jungle	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_magicforest	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_mountain	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_ocean	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_savannah	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_temperate	ACTOR	ovn_fim_rancor_hold
ovn_fimir_rancor_hold_climate_wasteland	ACTOR	ovn_fim_rancor_hold
ovn_fimir_tendrils_of_doom_climate_chaotic	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_desert	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_frozen	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_island	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_jungle	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_magicforest	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_mountain	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_ocean	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_savannah	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_temperate	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_tendrils_of_doom_climate_wasteland	ACTOR	ovn_fim_tendrils_of_doom
ovn_fimir_skattach	ACTOR	ovn_fim_rancor_hold
