ability_group	unit
#special_ability_groups_to_units_junctions_tables;0;db/special_ability_groups_to_units_junctions_tables/ovn_fimir_only	
wh_dlc03_lore_beasts	wh_dlc08_nor_cha_fimir_balefiend_beast
wh_main_lore_death	wh_dlc08_nor_cha_fimir_balefiend_death
wh2_main_lore_dark_magic	fim_cha_meargh_skattach
wh2_main_lore_dark_magic	fim_cha_meargh_skattach_palanquin
elo_lore_boglar	fim_cha_boglar_shaman
elo_lore_boglar	fim_cha_boglar_shaman_hound
wh_dlc03_lore_beasts	fim_cha_dirach_beast
wh_main_lore_fire	fim_cha_dirach_fire
wh_main_lore_death	fim_cha_dirach_death
wh_dlc05_lore_shadows	fim_cha_dirach_shadow
fim_lore_kroll	fim_cha_daemon_octopus_kroll
