attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/ovn_fimir_only	
chaos_territory	fim_cav_marsh_hornets_ror
disease	fim_cav_marsh_hornets_ror
swamp	fim_cav_marsh_hornets_ror
non_vampire_territory	fim_cav_marsh_hornets_ror
nurgle_plague	fim_cav_marsh_hornets_ror
mountain	fim_cav_marsh_hornets_ror
chaos_territory	fim_cav_marsh_reavers
disease	fim_cav_marsh_reavers
swamp	fim_cav_marsh_reavers
non_vampire_territory	fim_cav_marsh_reavers
nurgle_plague	fim_cav_marsh_reavers
mountain	fim_cav_marsh_reavers
chaos_territory	fim_cav_nuckelavee
disease	fim_cav_nuckelavee
swamp	fim_cav_nuckelavee
non_vampire_territory	fim_cav_nuckelavee
nurgle_plague	fim_cav_nuckelavee
mountain	fim_cav_nuckelavee
chaos_territory	fim_cha_boglar_shaman
disease	fim_cha_boglar_shaman
swamp	fim_cha_boglar_shaman
non_vampire_territory	fim_cha_boglar_shaman
nurgle_plague	fim_cha_boglar_shaman
mountain	fim_cha_boglar_shaman
chaos_territory	fim_cha_boglar_shaman_hound
disease	fim_cha_boglar_shaman_hound
swamp	fim_cha_boglar_shaman_hound
non_vampire_territory	fim_cha_boglar_shaman_hound
nurgle_plague	fim_cha_boglar_shaman_hound
mountain	fim_cha_boglar_shaman_hound
chaos_territory	fim_cha_dirach_beast
disease	fim_cha_dirach_beast
swamp	fim_cha_dirach_beast
non_vampire_territory	fim_cha_dirach_beast
nurgle_plague	fim_cha_dirach_beast
mountain	fim_cha_dirach_beast
chaos_territory	fim_cha_dirach_death
disease	fim_cha_dirach_death
swamp	fim_cha_dirach_death
non_vampire_territory	fim_cha_dirach_death
nurgle_plague	fim_cha_dirach_death
mountain	fim_cha_dirach_death
chaos_territory	fim_cha_dirach_fire
disease	fim_cha_dirach_fire
swamp	fim_cha_dirach_fire
non_vampire_territory	fim_cha_dirach_fire
nurgle_plague	fim_cha_dirach_fire
mountain	fim_cha_dirach_fire
chaos_territory	fim_cha_dirach_shadow
disease	fim_cha_dirach_shadow
swamp	fim_cha_dirach_shadow
non_vampire_territory	fim_cha_dirach_shadow
nurgle_plague	fim_cha_dirach_shadow
mountain	fim_cha_dirach_shadow
chaos_territory	fim_cha_fimirach_noble
disease	fim_cha_fimirach_noble
swamp	fim_cha_fimirach_noble
non_vampire_territory	fim_cha_fimirach_noble
nurgle_plague	fim_cha_fimirach_noble
mountain	fim_cha_fimirach_noble
chaos_territory	fim_cha_fimirach_noble_bog_beast
disease	fim_cha_fimirach_noble_bog_beast
swamp	fim_cha_fimirach_noble_bog_beast
non_vampire_territory	fim_cha_fimirach_noble_bog_beast
nurgle_plague	fim_cha_fimirach_noble_bog_beast
mountain	fim_cha_fimirach_noble_bog_beast
chaos_territory	fim_cha_finmor
disease	fim_cha_finmor
swamp	fim_cha_finmor
non_vampire_territory	fim_cha_finmor
nurgle_plague	fim_cha_finmor
mountain	fim_cha_finmor
chaos_territory	fim_cha_meargh_skattach
disease	fim_cha_meargh_skattach
swamp	fim_cha_meargh_skattach
non_vampire_territory	fim_cha_meargh_skattach
nurgle_plague	fim_cha_meargh_skattach
mountain	fim_cha_meargh_skattach
chaos_territory	fim_cha_meargh_skattach_palanquin
disease	fim_cha_meargh_skattach_palanquin
swamp	fim_cha_meargh_skattach_palanquin
non_vampire_territory	fim_cha_meargh_skattach_palanquin
nurgle_plague	fim_cha_meargh_skattach_palanquin
mountain	fim_cha_meargh_skattach_palanquin
chaos_territory	fim_inf_boglar
disease	fim_inf_boglar
swamp	fim_inf_boglar
non_vampire_territory	fim_inf_boglar
nurgle_plague	fim_inf_boglar
mountain	fim_inf_boglar
chaos_territory	fim_inf_death_quest
disease	fim_inf_death_quest
swamp	fim_inf_death_quest
non_vampire_territory	fim_inf_death_quest
nurgle_plague	fim_inf_death_quest
mountain	fim_inf_death_quest
chaos_territory	fim_inf_fimm_warriors
disease	fim_inf_fimm_warriors
swamp	fim_inf_fimm_warriors
non_vampire_territory	fim_inf_fimm_warriors
nurgle_plague	fim_inf_fimm_warriors
mountain	fim_inf_fimm_warriors
chaos_territory	fim_inf_fimm_warriors_axe_throwers_ror
disease	fim_inf_fimm_warriors_axe_throwers_ror
swamp	fim_inf_fimm_warriors_axe_throwers_ror
non_vampire_territory	fim_inf_fimm_warriors_axe_throwers_ror
nurgle_plague	fim_inf_fimm_warriors_axe_throwers_ror
mountain	fim_inf_fimm_warriors_axe_throwers_ror
chaos_territory	fim_inf_fimm_warriors_great_weapons
disease	fim_inf_fimm_warriors_great_weapons
swamp	fim_inf_fimm_warriors_great_weapons
non_vampire_territory	fim_inf_fimm_warriors_great_weapons
nurgle_plague	fim_inf_fimm_warriors_great_weapons
mountain	fim_inf_fimm_warriors_great_weapons
chaos_territory	fim_inf_killing_eye_ror
disease	fim_inf_killing_eye_ror
swamp	fim_inf_killing_eye_ror
non_vampire_territory	fim_inf_killing_eye_ror
nurgle_plague	fim_inf_killing_eye_ror
mountain	fim_inf_killing_eye_ror
chaos_territory	fim_inf_moor_hounds
disease	fim_inf_moor_hounds
swamp	fim_inf_moor_hounds
non_vampire_territory	fim_inf_moor_hounds
nurgle_plague	fim_inf_moor_hounds
mountain	fim_inf_moor_hounds
chaos_territory	fim_inf_moor_hounds_ror
disease	fim_inf_moor_hounds_ror
swamp	fim_inf_moor_hounds_ror
non_vampire_territory	fim_inf_moor_hounds_ror
nurgle_plague	fim_inf_moor_hounds_ror
mountain	fim_inf_moor_hounds_ror
chaos_territory	fim_inf_shearl
disease	fim_inf_shearl
swamp	fim_inf_shearl
non_vampire_territory	fim_inf_shearl
nurgle_plague	fim_inf_shearl
mountain	fim_inf_shearl
chaos_territory	fim_inf_shearl_javelineer
disease	fim_inf_shearl_javelineer
swamp	fim_inf_shearl_javelineer
non_vampire_territory	fim_inf_shearl_javelineer
nurgle_plague	fim_inf_shearl_javelineer
mountain	fim_inf_shearl_javelineer
chaos_territory	fim_inf_swamp_daemons
disease	fim_inf_swamp_daemons
swamp	fim_inf_swamp_daemons
non_vampire_territory	fim_inf_swamp_daemons
nurgle_plague	fim_inf_swamp_daemons
mountain	fim_inf_swamp_daemons
chaos_territory	fim_inf_swamp_daemons_summon
disease	fim_inf_swamp_daemons_summon
swamp	fim_inf_swamp_daemons_summon
non_vampire_territory	fim_inf_swamp_daemons_summon
nurgle_plague	fim_inf_swamp_daemons_summon
mountain	fim_inf_swamp_daemons_summon
chaos_territory	fim_mon_balefiend_apprentices
disease	fim_mon_balefiend_apprentices
swamp	fim_mon_balefiend_apprentices
non_vampire_territory	fim_mon_balefiend_apprentices
nurgle_plague	fim_mon_balefiend_apprentices
mountain	fim_mon_balefiend_apprentices
chaos_territory	fim_mon_daemonomaniac
disease	fim_mon_daemonomaniac
swamp	fim_mon_daemonomaniac
non_vampire_territory	fim_mon_daemonomaniac
nurgle_plague	fim_mon_daemonomaniac
mountain	fim_mon_daemonomaniac
chaos_territory	fim_mon_daemonomaniac_ror
disease	fim_mon_daemonomaniac_ror
swamp	fim_mon_daemonomaniac_ror
non_vampire_territory	fim_mon_daemonomaniac_ror
nurgle_plague	fim_mon_daemonomaniac_ror
mountain	fim_mon_daemonomaniac_ror
chaos_territory	fim_mon_fenbeast
disease	fim_mon_fenbeast
swamp	fim_mon_fenbeast
non_vampire_territory	fim_mon_fenbeast
nurgle_plague	fim_mon_fenbeast
mountain	fim_mon_fenbeast
chaos_territory	fim_mon_fianna_fimm
disease	fim_mon_fianna_fimm
swamp	fim_mon_fianna_fimm
non_vampire_territory	fim_mon_fianna_fimm
nurgle_plague	fim_mon_fianna_fimm
mountain	fim_mon_fianna_fimm
chaos_territory	fim_mon_fianna_fimm_great_weapons
disease	fim_mon_fianna_fimm_great_weapons
swamp	fim_mon_fianna_fimm_great_weapons
non_vampire_territory	fim_mon_fianna_fimm_great_weapons
nurgle_plague	fim_mon_fianna_fimm_great_weapons
mountain	fim_mon_fianna_fimm_great_weapons
chaos_territory	fim_mon_gharnus_daemon_ror
disease	fim_mon_gharnus_daemon_ror
swamp	fim_mon_gharnus_daemon_ror
non_vampire_territory	fim_mon_gharnus_daemon_ror
nurgle_plague	fim_mon_gharnus_daemon_ror
mountain	fim_mon_gharnus_daemon_ror
chaos_territory	fim_mon_mistmor
disease	fim_mon_mistmor
swamp	fim_mon_mistmor
non_vampire_territory	fim_mon_mistmor
nurgle_plague	fim_mon_mistmor
mountain	fim_mon_mistmor
chaos_territory	fim_veh_eye_oculus
disease	fim_veh_eye_oculus
swamp	fim_veh_eye_oculus
non_vampire_territory	fim_veh_eye_oculus
nurgle_plague	fim_veh_eye_oculus
mountain	fim_veh_eye_oculus
chaos_territory	wh_dlc08_nor_cha_fimir_balefiend_beast
disease	wh_dlc08_nor_cha_fimir_balefiend_beast
swamp	wh_dlc08_nor_cha_fimir_balefiend_beast
non_vampire_territory	wh_dlc08_nor_cha_fimir_balefiend_beast
nurgle_plague	wh_dlc08_nor_cha_fimir_balefiend_beast
mountain	wh_dlc08_nor_cha_fimir_balefiend_beast
chaos_territory	wh_dlc08_nor_cha_fimir_balefiend_death
disease	wh_dlc08_nor_cha_fimir_balefiend_death
swamp	wh_dlc08_nor_cha_fimir_balefiend_death
non_vampire_territory	wh_dlc08_nor_cha_fimir_balefiend_death
nurgle_plague	wh_dlc08_nor_cha_fimir_balefiend_death
mountain	wh_dlc08_nor_cha_fimir_balefiend_death
chaos_territory	ovn_fim_mon_bog_octopus_0
disease	ovn_fim_mon_bog_octopus_0
swamp	ovn_fim_mon_bog_octopus_0
non_vampire_territory	ovn_fim_mon_bog_octopus_0
nurgle_plague	ovn_fim_mon_bog_octopus_0
mountain	ovn_fim_mon_bog_octopus_0
chaos_territory	fim_cha_daemon_octopus_kroll
disease	fim_cha_daemon_octopus_kroll
swamp	fim_cha_daemon_octopus_kroll
non_vampire_territory	fim_cha_daemon_octopus_kroll
nurgle_plague	fim_cha_daemon_octopus_kroll
mountain	fim_cha_daemon_octopus_kroll
chaos_territory	fim_mon_bog_beasts
disease	fim_mon_bog_beasts
swamp	fim_mon_bog_beasts
non_vampire_territory	fim_mon_bog_beasts
nurgle_plague	fim_mon_bog_beasts
mountain	fim_mon_bog_beasts
