faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/ovn_fimir	
ovn_fim_rancor_hold	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_fim_rancor_hold	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_fim_rancor_hold	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_fim_rancor_hold	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_fim_rancor_hold	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_fim_rancor_hold	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_fim_rancor_hold	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_fim_rancor_hold	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
ovn_fim_rancor_hold	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
ovn_fim_tendrils_of_doom	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_fim_tendrils_of_doom	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_fim_tendrils_of_doom	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_fim_tendrils_of_doom	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_fim_tendrils_of_doom	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_fim_tendrils_of_doom	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_fim_tendrils_of_doom	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_fim_tendrils_of_doom	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
ovn_fim_tendrils_of_doom	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
ovn_fim_mist_dragons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_fim_mist_dragons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_fim_mist_dragons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_fim_mist_dragons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_fim_mist_dragons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_fim_mist_dragons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_fim_mist_dragons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_fim_mist_dragons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
ovn_fim_mist_dragons	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
ovn_fim_marsh_hornets	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_fim_marsh_hornets	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_fim_marsh_hornets	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_fim_marsh_hornets	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_fim_marsh_hornets	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_fim_marsh_hornets	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_fim_marsh_hornets	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_fim_marsh_hornets	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
ovn_fim_marsh_hornets	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
