uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/ovn_fimir_only					
ovn_uniform_fim_meargh_skattach	fim_meargh_skattach	fim_meargh_skattach	fim_meargh_skattach		
ovn_uniform_fim_boglar_shaman_1	fim_boglar_shaman_0	fim_boglar_shaman_0	fim_boglar_shaman_0		
ovn_uniform_fim_boglar_shaman_2	fim_boglar_shaman_1	fim_boglar_shaman_1	fim_boglar_shaman_1		
ovn_uniform_fim_boglar_shaman_3	fim_boglar_shaman_2	fim_boglar_shaman_2	fim_boglar_shaman_2		
ovn_uniform_fim_boglar_shaman_4	fim_boglar_shaman_3	fim_boglar_shaman_3	fim_boglar_shaman_3		
ovn_uniform_fim_dirach_1	fim_dirach_0	fim_dirach_0	fim_dirach_0		
ovn_uniform_fim_dirach_2	fim_dirach_1	fim_dirach_1	fim_dirach_1		
ovn_uniform_fim_dirach_3	fim_dirach_2	fim_dirach_2	fim_dirach_2		
ovn_uniform_fim_finmor_1	fim_finmor_0	fim_finmor_0	fim_finmor_0		
ovn_uniform_fim_finmor_2	fim_finmor_1	fim_finmor_1	fim_finmor_1		
ovn_uniform_fim_finmor_3	fim_finmor_2	fim_finmor_2	fim_finmor_2		
ovn_uniform_fim_fimirach_noble_0	fim_fimirach_noble_0	fim_fimirach_noble_0	fim_fimirach_noble_0		
ovn_uniform_fim_fimirach_noble_1	fim_fimirach_noble_1	fim_fimirach_noble_1	fim_fimirach_noble_1		
ovn_uniform_fim_fimirach_noble_2	fim_fimirach_noble_2	fim_fimirach_noble_2	fim_fimirach_noble_2		
ovn_uniform_fim_fimirach_noble_3	fim_fimirach_noble_3	fim_fimirach_noble_3	fim_fimirach_noble_3		
ovn_uniform_fim_fimirach_noble_4	fim_fimirach_noble_4	fim_fimirach_noble_4	fim_fimirach_noble_4		
ovn_uniform_fim_fimirach_noble_kroll_0	fim_fimirach_noble_kroll_0	fim_fimirach_noble_kroll_0	fim_fimirach_noble_kroll_0		
ovn_uniform_fim_fimirach_noble_kroll_1	fim_fimirach_noble_kroll_1	fim_fimirach_noble_kroll_1	fim_fimirach_noble_kroll_1		
ovn_uniform_fim_fimirach_noble_kroll_2	fim_fimirach_noble_kroll_2	fim_fimirach_noble_kroll_2	fim_fimirach_noble_kroll_2		
ovn_uniform_fim_fimirach_noble_kroll_3	fim_fimirach_noble_kroll_3	fim_fimirach_noble_kroll_3	fim_fimirach_noble_kroll_3		
ovn_uniform_fim_fimirach_noble_kroll_4	fim_fimirach_noble_kroll_4	fim_fimirach_noble_kroll_4	fim_fimirach_noble_kroll_4		
ovn_uniform_fim_finmor_kroll_1	fim_finmor_kroll_0	fim_finmor_kroll_0	fim_finmor_kroll_0		
ovn_uniform_fim_finmor_kroll_2	fim_finmor_kroll_1	fim_finmor_kroll_1	fim_finmor_kroll_1		
ovn_uniform_fim_finmor_kroll_3	fim_finmor_kroll_2	fim_finmor_kroll_2	fim_finmor_kroll_2		
ovn_uniform_fim_daemon_octopus_kroll	fim_daemon_octopus_kroll_cam	fim_daemon_octopus_kroll	fim_daemon_octopus_kroll		
