id	treasury_cost	expenditure_type	income_type	expenditure_type_when_regular	income_type_when_regular
#resource_costs_tables;0;db/resource_costs_tables/ovn_fimir					
ovn_fimir_slaves_battles	1	ACTIONS	BATTLE_KILLS	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fimir_growth_diktat	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fimir_fog_diktat	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t1	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t1_sacrifice_requirements	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t2	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t2_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t3	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t3_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t3_sacrifice_requirement_high	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t4	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t4_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t5	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t5_sacrifice_requirement	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_t5_sacrifice_requirement_low	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
ovn_fim_skattach_initiative_slaves_kho_upkeep_t1	0	RITUAL	RITUAL	ARMY_UPKEEP	BACKGROUND_INCOME
