unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	unique_index	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed
#main_units_tables;4;db/main_units_tables/ovn_fimir_only																																											
fim_mon_fenbeast		-1	monstrous_infantry	2	false	fim_mon_fenbeast	16	0	1350	wh_main_shp_transport	1	1	16	1350	275	very_heavy		0	787878001	false	wh_dlc03_vo_culture_Spawn	ovn_fenbeasts	3	true	chaos_spawn		false		1100.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	true	6	false	false		0.0000	true
fim_inf_boglar		-1	melee_infantry	1	false	fim_inf_boglar	160	0	200	wh_main_shp_transport	1	1	160	250	63	light		0	1049341204	false	wh3_main_vo_culture_Ogres	infantry_spear	1	false	grn_goblin_45_degrees		false		200.0000	0.0000	false	vo_culture_None	false	wh3_main_vo_actor_Ogres_Gnoblarunit	0	true	false	6	false	false		0.0000	true
fim_inf_shearl		-1	melee_infantry	1	false	fim_inf_shearl	120	0	430	wh_main_shp_transport	1	1	120	430	107	heavy		0	230639037	false	wh_dlc08_vo_culture_Norsca	vmp_crypt_ghouls	1	false	nor_fimir		false		450.0000	0.0000	false	vo_culture_None	false	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	6	false	false		0.0000	true
fim_inf_death_quest		-1	melee_infantry	1	false	fim_inf_death_quest	100	0	600	wh_main_shp_transport	1	1	100	600	150	heavy		0	230639038	false	wh_dlc08_vo_culture_Norsca	wh_dlc04_emp_flagelllents	2	false	nor_fimir		false		600.0000	0.0000	false	vo_culture_None	false	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	6	false	false		0.0000	true
fim_inf_killing_eye_ror		1	melee_infantry	1	false	fim_inf_killing_eye_ror	100	0	875	wh_main_shp_transport	1	1	100	875	219	heavy		0	230639039	false	wh_dlc08_vo_culture_Norsca	wh_dlc04_emp_flagelllents	3	false	nor_fimir		false		875.0000	0.0000	false	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	1	false	false		0.0000	true
fim_inf_moor_hounds		-1	war_beast	1	false	fim_inf_moor_hounds	80	0	500	wh_main_shp_transport	1	1	80	500	125	heavy		0	7522	false	wh_main_vo_culture_Dire_Wolves_WarHound	war_beast	1	false	vamp_dire_wolf		false		500.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true
fim_inf_fimm_warriors		-1	melee_infantry	1	false	fim_inf_fimm_warriors	100	0	700	wh_main_shp_transport	1	1	100	700	175	heavy		0	57522326	true	wh_dlc08_vo_culture_Norsca	infantry_sword	3	false	nor_fimir		false		700.0000	0.0000	false	vo_culture_None	false	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	6	false	false		0.0000	true
fim_inf_fimm_warriors_great_weapons		-1	melee_infantry	1	false	fim_inf_fimm_warriors_great_weapons	100	0	750	wh_main_shp_transport	1	1	100	750	188	heavy		0	969219725	true	wh_dlc08_vo_culture_Norsca	infantry_axe_great	3	false	nor_fimir		false		750.0000	0.0000	false	vo_culture_None	false	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	6	false	false		0.0000	true
fim_inf_fimm_warriors_axe_throwers_ror		1	missile_infantry	1	false	fim_inf_fimm_warriors_axe_throwers_ror	100	0	1000	wh_main_shp_transport	1	1	100	1000	250	heavy		0	240639031	false	wh_dlc08_vo_culture_Norsca	infantry_axe_throwing	3	false	nor_fimir		false		1000.0000	0.0000	false	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	1	false	false		0.0000	true
fim_mon_gharnus_daemon_ror		1	monstrous_infantry	2	false	fim_mon_gharnus_daemon_ror	16	0	1800	wh_main_shp_transport	1	1	16	1800	425	heavy		0	230639041	false	wh_dlc08_vo_culture_Norsca	monstrous_infantry	5	false	nor_fimir		false		1800.0000	0.0000	true	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	1	false	false		0.0000	true
fim_mon_fianna_fimm		-1	monstrous_infantry	2	false	fim_mon_fianna_fimm	16	0	1300	wh_main_shp_transport	1	1	16	1300	325	heavy		0	57522326	false	wh_dlc08_vo_culture_Norsca	monstrous_infantry	4	false	nor_fimir		false		1300.0000	0.0000	true	vo_culture_None	false	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	6	false	false		0.0000	true
fim_mon_fianna_fimm_great_weapons		-1	monstrous_infantry	2	false	fim_mon_fianna_fimm_great_weapons	16	0	1450	wh_main_shp_transport	1	1	16	1450	363	heavy		0	969219725	false	wh_dlc08_vo_culture_Norsca	monstrous_infantry	5	false	nor_fimir		false		1450.0000	0.0000	true	vo_culture_None	false	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	6	false	false		0.0000	true
fim_mon_mistmor		-1	monstrous_infantry	2	false	fim_mon_mistmor	16	0	1200	wh_main_shp_transport	1	1	16	1200	285	very_heavy		0	1609456476	false	wh_main_vo_culture_Var_Creature	monstrous_infantry	3	false	nor_fimir		false		1200.0000	0.0000	true	vo_culture_None	false	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	false	false	6	false	false		0.0000	true
fim_inf_shearl_javelineer		-1	missile_infantry	1	false	fim_inf_shearl_javelineer	90	0	500	wh_main_shp_transport	1	1	90	500	125	heavy		0	652151413	false	wh_dlc08_vo_culture_Norsca	wh_dlc08_nor_hunters_javelin	2	false	nor_fimir		false		150.0000	350.0000	false	vo_culture_None	false	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	6	false	false		0.0000	true
fim_mon_balefiend_apprentices		-1	monstrous_infantry	2	false	fim_mon_balefiend_apprentices	16	0	1050	wh_main_shp_transport	1	1	16	1050	265	heavy		0	652151412	false	wh_dlc08_vo_culture_Norsca	wh3_main_tze_flamer	3	false	nor_fimir		false		400.0000	650.0000	false	vo_culture_None	false	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	6	false	false		0.0000	true
fim_cav_marsh_reavers		-1	monstrous_cavalry	2	false	fim_cav_marsh_reavers	12	0	1150	wh_main_shp_transport	1	1	12	1150	300	very_heavy		0	10745273411	false	wh2_dlc12_vo_culture_Salamander	ovn_fim_cavalry_bog_beast	3	false	liz_salamander_hunting_pack		false		1150.0000	0.0000	true	vo_culture_None	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	true
fim_cha_finmor		-1	hero	1	false	fim_cha_finmor	1	0	700	wh_main_shp_transport	1	1	1	1000	250	heavy		0	240639030	false	wh_dlc08_vo_culture_Norsca	fim_finmor_hero	0	true	fim_fimirach_noble		true		700.0000	0.0000	true	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	2	false	false		0.0000	true
fim_cha_fimirach_noble		-1	lord	1	false	fim_cha_fimirach_noble	1	0	1000	wh_main_shp_transport	1	1	1	1000	250	heavy		0	782508932	false	wh_dlc08_vo_culture_Norsca	wh2_main_lord_monstrous_infantry	0	true	fim_fimirach_noble		true		1000.0000	0.0000	true	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	0	false	false		0.0000	true
fim_cha_fimirach_noble_bog_beast		-1	lord	1	false	fim_cha_fimirach_noble_bog_beast	1	0	1450	wh_main_shp_transport	1	1	1	1450	350	very_heavy		0	782508932	false	wh_dlc08_vo_culture_Norsca	ovn_fim_cavalry_bog_beast	0	true	fim_fimirach_noble		true		1450.0000	0.0000	true	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	0	false	false		0.0000	true
fim_cha_meargh_skattach		-1	lord	1	false	fim_cha_meargh_skattach	1	0	600	wh_main_shp_transport	1	1	1	1000	188	heavy		0	993503427	false	wh_main_vo_culture_Troll	lord_wizard_death	0	true	nor_fimir		true		600.0000	0.0000	true	vo_culture_None	true	wh2_dlc15_vo_actor_Troll_River_Troll_Hag	0	true	false	0	false	false		0.0000	true
fim_cha_meargh_skattach_palanquin		-1	lord	1	false	fim_cha_meargh_skattach_palanquin	1	0	800	wh_main_shp_transport	1	1	1	1600	238	heavy		0	993503487	false	wh_main_vo_culture_Troll	lord_wizard_death	0	true	nor_fimir	cam_fim_skattach_throne	true		800.0000	0.0000	true	vo_culture_None	true	wh2_dlc15_vo_actor_Troll_River_Troll_Hag	0	true	false	0	false	false		0.0000	true
wh_dlc08_nor_cha_fimir_balefiend_beast		-1	hero	1	false	wh_dlc08_nor_cha_fimir_balefiend_beast	1	0	550	wh_main_shp_transport	1	1	1	1000	188	heavy		0	1566874537	false	wh_dlc08_vo_culture_Norsca	wizard_beasts	0	true	nor_fimir		true		550.0000	0.0000	true	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	2	false	false		0.0000	true
wh_dlc08_nor_cha_fimir_balefiend_death		-1	hero	1	false	wh_dlc08_nor_cha_fimir_balefiend_death	1	0	550	wh_main_shp_transport	1	1	1	1000	188	heavy		0	493208727	false	wh_dlc08_vo_culture_Norsca	wizard_death	0	true	nor_fimir		true		550.0000	0.0000	true	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	2	false	false		0.0000	true
fim_cha_dirach_fire		-1	lord	1	false	fim_cha_dirach_fire	1	0	600	wh_main_shp_transport	1	1	1	1000	188	heavy		0	1566874537	false	wh_dlc08_vo_culture_Norsca	lord_wizard_fire	0	true	nor_fimir		true		600.0000	0.0000	true	vo_culture_None	true	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	0	true	false	0	false	false		0.0000	true
