bonus_value_id	effect	subtype
#effect_bonus_value_agent_subtype_junctions_tables;0;db/effect_bonus_value_agent_subtype_junctions_tables/ovn_fimir_only		
recruitment_level	ovn_fim_effect_agent_xp_increase_elo_boglar_shaman	elo_boglar_shaman
availability	ovn_fim_effect_agent_enable_recruitment_elo_boglar_shaman	elo_boglar_shaman
cap	ovn_fim_effect_agent_cap_increase_elo_boglar_shaman	elo_boglar_shaman
recruitment_level	ovn_fim_effect_agent_xp_increase_finmor	fim_finmor
availability	ovn_fim_effect_agent_enable_recruitment_finmor	fim_finmor
cap	ovn_fim_effect_agent_cap_increase_champion_finmor	fim_finmor
recruitment_level	ovn_fim_effect_agent_xp_increase_finmor	fim_finmor_kroll
availability	ovn_fim_effect_agent_enable_recruitment_finmor	fim_finmor_kroll
cap	ovn_fim_effect_agent_cap_increase_champion_finmor	fim_finmor_kroll
recruitment_level	ovn_fim_effect_agent_recruitment_xp_dignitary_fimir_balefiend	wh_dlc08_nor_fimir_balefiend_shadow
availability	ovn_fim_effect_agent_enable_recruitment_dignitary_fimir_balefiend	wh_dlc08_nor_fimir_balefiend_shadow
cap	ovn_fim_effect_agent_cap_increase_dignitary_fimir_balefiend	wh_dlc08_nor_fimir_balefiend_shadow
recruitment_level	ovn_fim_effect_agent_recruitment_xp_dignitary_fimir_balefiend	wh_dlc08_nor_fimir_balefiend_fire
availability	ovn_fim_effect_agent_enable_recruitment_dignitary_fimir_balefiend	wh_dlc08_nor_fimir_balefiend_fire
cap	ovn_fim_effect_agent_cap_increase_dignitary_fimir_balefiend	wh_dlc08_nor_fimir_balefiend_fire
recruitment_level	ovn_fim_effect_agent_recruitment_xp_dignitary_fimir_balefiend	wh_dlc08_nor_cha_fimir_balefiend_death
availability	ovn_fim_effect_agent_enable_recruitment_dignitary_fimir_balefiend	wh_dlc08_nor_cha_fimir_balefiend_death
cap	ovn_fim_effect_agent_cap_increase_dignitary_fimir_balefiend	wh_dlc08_nor_cha_fimir_balefiend_death
recruitment_level	ovn_fim_effect_agent_recruitment_xp_dignitary_fimir_balefiend	wh_dlc08_nor_cha_fimir_balefiend_beast
availability	ovn_fim_effect_agent_enable_recruitment_dignitary_fimir_balefiend	wh_dlc08_nor_cha_fimir_balefiend_beast
cap	ovn_fim_effect_agent_cap_increase_dignitary_fimir_balefiend	wh_dlc08_nor_cha_fimir_balefiend_beast
