battle_personality	land_unit	attach	riders_attachment_point
#land_units_to_battle_personalities_junctions_tables;0;db/land_units_to_battle_personalities_junctions_tables/ovn_fimir_only			
fim_death_quest_officer	fim_inf_death_quest	officer	
fim_death_quest_balefiend	fim_inf_death_quest	additional_officer	
fim_killing_eye_officer	fim_inf_killing_eye_ror	officer	
ovn_fim_shrine_balor_eye_turret	fim_veh_eye_oculus	autonomous_rider	ap_crewposition_0
fim_shrine_balor_balefiend	fim_veh_eye_oculus	autonomous_rider	ap_crewposition_1
fim_skattach_palanquin_skattach	fim_cha_meargh_skattach_palanquin	autonomous_rider	ap_crewposition_0
fim_marsh_reaver_rider_ror	fim_cav_marsh_hornets_ror	autonomous_rider	ap_riderposition_0
fim_marsh_reaver_rider	fim_cav_marsh_reavers	autonomous_rider	ap_riderposition_0
fim_marsh_reaver_rider_lord	fim_cav_marsh_reavers	autonomous_rider	ap_riderposition_0
