level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/ovn_fimir_buildings																						
ovn_fimir_settlement_major_1	ovn_fimir_settlement_major	1	1	1000	0		false	false		true	ovn_fimir_settlement_major	false	0.0000	0	true	0	wh_cam_settlement_major_nordic	true	0	0		0
ovn_fimir_settlement_major_2	ovn_fimir_settlement_major	2	3	2000	0		false	false		true	ovn_fimir_settlement_major	false	0.0000	1	true	0	wh_cam_settlement_major_nordic	true	0	0		0
ovn_fimir_settlement_major_3	ovn_fimir_settlement_major	3	4	4000	0		false	false		true	ovn_fimir_settlement_major	false	0.0000	2	true	0	wh_cam_settlement_major_nordic	true	0	0		0
ovn_fimir_settlement_major_4	ovn_fimir_settlement_major	4	5	8000	0		false	false		true	ovn_fimir_settlement_major	false	0.0000	4	true	0	wh_cam_settlement_major_nordic	true	0	0		0
ovn_fimir_settlement_major_5	ovn_fimir_settlement_major	5	6	16000	0		false	false		true	ovn_fimir_settlement_major	false	0.0000	5	true	0	wh_cam_settlement_major_nordic	true	0	0		0
ovn_fimir_settlement_major_ruin	ovn_fimir_settlement_major	0	1	0	0		false	false		true	ovn_fimir_settlement_major	false	0.0000	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0
ovn_fimir_settlement_minor_1	ovn_fimir_settlement_minor	1	2	1000	0		false	false		true	ovn_fimir_settlement_minor	false	0.0000	0	true	0	wh_cam_settlement_minor_nordic	true	0	0		0
ovn_fimir_settlement_minor_2	ovn_fimir_settlement_minor	2	3	2000	0		false	false		true	ovn_fimir_settlement_minor	false	0.0000	1	true	0	wh_cam_settlement_minor_nordic	true	0	0		0
ovn_fimir_settlement_minor_3	ovn_fimir_settlement_minor	3	4	4000	0		false	false		true	ovn_fimir_settlement_minor	false	0.0000	2	true	0	wh_cam_settlement_minor_nordic	true	0	0		0
ovn_fimir_settlement_minor_ruin	ovn_fimir_settlement_minor	0	1	0	0		false	false		true	ovn_fimir_settlement_minor	false	0.0000	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0
ovn_fimir_infantry_1	ovn_fimir_infantry	0	1	1000	0		false	false		true	ovn_fimir_infantry	true	0.0000	0	true	1		true	0	0		0
ovn_fimir_infantry_2	ovn_fimir_infantry	1	2	2000	0		false	false		true	ovn_fimir_infantry	true	0.0000	0	true	2		true	0	0		0
ovn_fimir_infantry_3	ovn_fimir_infantry	2	3	4000	0		false	false		true	ovn_fimir_infantry	true	0.0000	0	true	3		true	0	0		0
ovn_fimir_marsh_1	ovn_fimir_marsh	0	2	1000	0		false	false		true	ovn_fimir_marsh	true	0.0000	0	true	1		true	0	0		0
ovn_fimir_marsh_2	ovn_fimir_marsh	1	4	3000	0		false	false		true	ovn_fimir_marsh	true	0.0000	0	true	3		true	0	0		0
ovn_fimir_cavalry_1	ovn_fimir_cavalry	0	3	2000	0		false	false		true	ovn_fimir_cavalry	true	0.0000	0	true	3		true	0	0		0
ovn_fimir_cavalry_2	ovn_fimir_cavalry	1	4	3000	0		false	false		true	ovn_fimir_cavalry	true	0.0000	0	true	4		true	0	0		0
ovn_fimir_fianna_1	ovn_fimir_fianna	0	2	2000	0		false	false		true	ovn_fimir_fianna	true	0.0000	0	true	3		true	0	0		0
ovn_fimir_fianna_2	ovn_fimir_fianna	1	3	3000	0		false	false		true	ovn_fimir_fianna	true	0.0000	0	true	4		true	0	0		0
ovn_fimir_fianna_3	ovn_fimir_fianna	2	4	4000	0		false	false		true	ovn_fimir_fianna	true	0.0000	0	true	5		true	0	0		0
ovn_fimir_dirach_1	ovn_fimir_dirach	0	2	2000	0		false	false		true	ovn_fimir_dirach	true	0.0000	0	true	3		true	0	0		0
ovn_fimir_dirach_2	ovn_fimir_dirach	1	3	3000	0		false	false		true	ovn_fimir_dirach	true	0.0000	0	true	4		true	0	0		0
