bonus_value_id	effect	initiative_set
#effect_bonus_value_initiative_set_junctions_tables;0;db/effect_bonus_value_initiative_set_junctions_tables/ovn_fimir_only		
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	ovn_fim_skattach_faction_initiative_set_chs_khorne
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	ovn_fim_skattach_faction_initiative_set_chs_nurgle
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	ovn_fim_skattach_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	ovn_fim_skattach_faction_initiative_set_chs_tzeentch
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_all	ovn_fim_skattach_faction_initiative_set_chs_undivided
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_kho_HIDDEN	ovn_fim_skattach_faction_initiative_set_chs_khorne
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_kho	ovn_fim_skattach_faction_initiative_set_chs_khorne
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_nur_HIDDEN	ovn_fim_skattach_faction_initiative_set_chs_nurgle
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_nur	ovn_fim_skattach_faction_initiative_set_chs_nurgle
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_sla_HIDDEN	ovn_fim_skattach_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_sla	ovn_fim_skattach_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_tze_HIDDEN	ovn_fim_skattach_faction_initiative_set_chs_tzeentch
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_tze	ovn_fim_skattach_faction_initiative_set_chs_tzeentch
active_initiative_count_mod	wh3_dlc20_effect_chs_gift_cap_mod_und	ovn_fim_skattach_faction_initiative_set_chs_undivided
active_initiative_count_mod	wh3_main_effect_chs_gift_cap_mod_kho_nur_sla_tze	ovn_fim_skattach_faction_initiative_set_chs_khorne
active_initiative_count_mod	wh3_main_effect_chs_gift_cap_mod_kho_nur_sla_tze	ovn_fim_skattach_faction_initiative_set_chs_nurgle
active_initiative_count_mod	wh3_main_effect_chs_gift_cap_mod_kho_nur_sla_tze	ovn_fim_skattach_faction_initiative_set_chs_slaanesh
active_initiative_count_mod	wh3_main_effect_chs_gift_cap_mod_kho_nur_sla_tze	ovn_fim_skattach_faction_initiative_set_chs_tzeentch
