member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/ovn_fimir	
ovn_fimir	ovn_fimir_slaves
ovn_fimir_skattach	wh3_dlc20_chs_eye_of_the_gods
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_0	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_1	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_2	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_3	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_max	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_0	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_1	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_2	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_3	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_max	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_0	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_1	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_2	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_3	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_max	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_0	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_1	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_2	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_3	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_max	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_0	ovn_fim_skattach_slaves_spent_und
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_1	ovn_fim_skattach_slaves_spent_und
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_2	ovn_fim_skattach_slaves_spent_und
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_3	ovn_fim_skattach_slaves_spent_und
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_max	ovn_fim_skattach_slaves_spent_und
