campaign_potential	base_value	random_roll_mean	random_roll_lower_bound	random_roll_upper_bound
#faction_potential_categories_tables;0;db/faction_potential_categories_tables/ovn_fimir				
mixer_bef_amber_kingdom_ie	20	0	0	40
mixer_brt_bertrand_ie	20	0	0	40
mixer_brt_gisoreux_ie	20	0	0	40
mixer_brt_montfort_ie	20	0	0	40
mixer_brt_quenelles_ie	20	0	0	40
mixer_brt_uprising_ie	20	0	0	40
mixer_bst_skullfest_warherd_ie	20	0	0	40
mixer_bst_skullfest_warherd_roc	-25	0	0	100
mixer_chs_scions_of_nurgle_ie	20	0	0	40
mixer_chs_scions_of_nurgle_roc	-25	0	0	100
mixer_chs_slaughtermen_of_khorne_ie	20	0	0	40
mixer_chs_slaughtermen_of_khorne_roc	-25	0	0	100
mixer_chs_winter_palace_pretenders_ie	20	0	0	40
mixer_chs_winter_palace_pretenders_roc	-25	0	0	100
mixer_emp_van_der_kraal_ie	20	0	0	40
mixer_gnob_bezer_ie	20	0	0	40
mixer_gnob_bezer_roc	-25	0	0	100
mixer_gnob_gnobbo_ie	20	0	0	40
mixer_gnob_gnobbo_roc	-25	0	0	100
mixer_gnob_gutsman_ie	20	0	0	40
mixer_gnob_gutsman_roc	-25	0	0	100
mixer_nag_nagash_ie	50	0	0	10
mixer_nip_house_den_euwe_ie	20	0	0	40
mixer_nip_nipponese_expedition_ie	20	0	0	40
mixer_teb_bilbali_ie	20	0	0	40
mixer_teb_border_princes_ie	20	0	0	40
mixer_teb_catrazza_ie	20	0	0	40
mixer_teb_colombo_ie	20	0	0	40
mixer_teb_estalia_ie	20	0	0	40
mixer_teb_gashnag_ie	20	0	0	40
mixer_teb_new_world_colonies_ie	20	0	0	40
mixer_teb_tilea_ie	20	0	0	40
mixer_tze_van_horstmann_ie	20	0	0	40
mixer_vmp_helsnicht_ie	20	0	0	40
mixer_vmp_helsnicht_roc	-25	0	0	100
mixer_wef_wychwethyl_ie	20	0	0	40
ovn_fim_rancor_hold_ie	160	0	0	30
ovn_fim_tendrils_of_doom_ie	160	0	0	30
wh2_dlc09_skv_clan_rictus_roc	-25	0	0	100
wh2_dlc09_tmb_dune_kingdoms_ie	20	0	0	40
wh2_dlc09_tmb_numas_ie	20	0	0	40
wh2_dlc09_tmb_rakaph_dynasty_ie	20	0	0	40
wh2_dlc11_cst_vampire_coast_rebels_ie	20	0	0	40
wh2_dlc12_grn_leaf_cutterz_tribe_ie	20	0	0	40
wh2_dlc12_grn_leaf_cutterz_tribe_roc	-25	0	0	100
wh2_dlc12_skv_clan_fester_ie	20	0	0	40
wh2_dlc12_skv_clan_mange_ie	20	0	0	40
wh2_dlc12_skv_clan_mange_roc	-25	0	0	100
wh2_dlc14_grn_red_cloud_ie	20	0	0	40
wh2_dlc15_dwf_clan_helhein_ie	20	0	0	40
wh2_dlc15_dwf_clan_helhein_roc	-25	0	0	100
wh2_dlc15_grn_skull_crag_ie	20	0	0	40
wh2_dlc15_skv_clan_ferrik_ie	20	0	0	40
wh2_dlc15_skv_clan_kreepus_ie	20	0	0	40
wh2_dlc15_skv_clan_volkn_ie	20	0	0	40
wh2_dlc16_grn_creeping_death_ie	20	0	0	40
wh2_dlc16_grn_naggaroth_orcs_ie	20	0	0	40
wh2_dlc16_lzd_wardens_of_the_living_pools_ie	20	0	0	40
wh2_dlc16_skv_clan_gritus_ie	20	0	0	40
wh2_dlc17_nor_deadwood_ravagers_ie	20	0	0	40
wh2_main_brt_knights_of_origo_ie	20	0	0	40
wh2_main_brt_knights_of_the_flame_ie	20	0	0	40
wh2_main_brt_thegans_crusaders_ie	20	0	0	40
wh2_main_bst_blooded_axe_ie	20	0	0	40
wh2_main_bst_blooded_axe_roc	-25	0	0	100
wh2_main_bst_manblight_ie	20	0	0	40
wh2_main_bst_manblight_roc	-25	0	0	100
wh2_main_bst_ripper_horn_ie	20	0	0	40
wh2_main_bst_ripper_horn_roc	-25	0	0	100
wh2_main_bst_shadowgor_ie	20	0	0	40
wh2_main_bst_shadowgor_roc	-25	0	0	100
wh2_main_bst_skrinderkin_roc	-25	0	0	100
wh2_main_bst_stone_horn_roc	-25	0	0	100
wh2_main_def_bleak_holds_ie	20	0	0	40
wh2_main_def_blood_hall_coven_ie	20	0	0	40
wh2_main_def_clar_karond_ie	20	0	0	40
wh2_main_def_cult_of_excess_ie	20	0	0	40
wh2_main_def_deadwood_sentinels_ie	20	0	0	40
wh2_main_def_drackla_coven_ie	20	0	0	40
wh2_main_def_ghrond_ie	20	0	0	40
wh2_main_def_karond_kar_ie	20	0	0	40
wh2_main_def_scourge_of_khaine_ie	20	0	0	40
wh2_main_def_ssildra_tor_ie	20	0	0	40
wh2_main_def_the_forgebound_ie	20	0	0	40
wh2_main_dwf_greybeards_prospectors_ie	20	0	0	40
wh2_main_dwf_karak_zorn_ie	20	0	0	40
wh2_main_dwf_spine_of_sotek_dwarfs_ie	20	0	0	40
wh2_main_emp_new_world_colonies_ie	20	0	0	40
wh2_main_grn_arachnos_ie	20	0	0	40
wh2_main_grn_blue_vipers_ie	20	0	0	40
wh2_main_grn_blue_vipers_roc	-25	0	0	100
wh2_main_hef_caledor_ie	20	0	0	40
wh2_main_hef_chrace_ie	20	0	0	40
wh2_main_hef_citadel_of_dusk_ie	20	0	0	40
wh2_main_hef_cothique_ie	20	0	0	40
wh2_main_hef_ellyrion_ie	20	0	0	40
wh2_main_hef_fortress_of_dawn_ie	20	0	0	40
wh2_main_hef_saphery_ie	20	0	0	40
wh2_main_hef_tiranoc_ie	20	0	0	40
wh2_main_hef_tor_elasor_ie	20	0	0	40
wh2_main_lzd_sentinels_of_xeti_ie	20	0	0	40
wh2_main_lzd_southern_sentinels_ie	20	0	0	40
wh2_main_lzd_teotiqua_ie	20	0	0	40
wh2_main_lzd_tlaxtlan_ie	20	0	0	40
wh2_main_lzd_xlanhuapec_ie	20	0	0	40
wh2_main_lzd_zlatan_ie	20	0	0	40
wh2_main_nor_aghol_ie	20	0	0	40
wh2_main_nor_aghol_roc	-25	0	0	100
wh2_main_nor_mung_ie	20	0	0	40
wh2_main_nor_skeggi_ie	20	0	0	40
wh2_main_skv_clan_eshin_roc	-25	0	0	100
wh2_main_skv_clan_gnaw_ie	20	0	0	40
wh2_main_skv_clan_gnaw_roc	-25	0	0	100
wh2_main_skv_clan_mordkin_ie	20	0	0	40
wh2_main_skv_clan_mordkin_roc	-25	0	0	100
wh2_main_skv_clan_moulder_roc	-25	0	0	100
wh2_main_skv_clan_septik_ie	20	0	0	40
wh2_main_skv_clan_spittel_ie	20	0	0	40
wh2_main_skv_clan_spittel_roc	-25	0	0	100
wh2_main_vmp_necrarch_brotherhood_ie	20	0	0	40
wh2_main_vmp_strygos_empire_ie	20	0	0	40
wh2_main_vmp_the_silver_host_ie	20	0	0	40
wh2_main_wef_bowmen_of_oreon_ie	20	0	0	40
wh3_dlc20_brt_march_of_couronne_roc	-25	0	0	100
wh3_dlc20_kho_blood_keepers_ie	20	0	0	40
wh3_dlc20_nor_dolgan_ie	20	0	0	40
wh3_dlc20_nor_dolgan_roc	-25	0	0	100
wh3_dlc20_nor_kuj_ie	20	0	0	40
wh3_dlc20_nor_kuj_roc	-25	0	0	100
wh3_dlc20_nor_kul_ie	20	0	0	40
wh3_dlc20_nor_kul_roc	-25	0	0	100
wh3_dlc20_nor_tong_ie	20	0	0	40
wh3_dlc20_nor_yusak_ie	20	0	0	40
wh3_dlc20_nor_yusak_roc	-25	0	0	100
wh3_dlc20_nur_pallid_nurslings_ie	20	0	0	40
wh3_dlc20_sla_keepers_of_bliss_ie	20	0	0	40
wh3_dlc20_tze_apostles_of_change_ie	20	0	0	40
wh3_dlc20_tze_the_sightless_ie	20	0	0	40
wh3_dlc20_tze_the_sightless_roc	-25	0	0	100
wh3_dlc21_cst_dead_flag_fleet_ie	20	0	0	40
wh3_dlc21_nor_wyrmkins_ie	20	0	0	40
wh3_dlc21_nor_wyrmkins_roc	-25	0	0	100
wh3_dlc21_vmp_jiangshi_rebels_ie	20	0	0	40
wh3_dlc21_wef_spirits_of_shanlin_ie	20	0	0	40
wh3_main_brt_aquitaine_ie	20	0	0	40
wh3_main_chs_gharhar_roc	-25	0	0	100
wh3_main_chs_khazag_ie	20	0	0	40
wh3_main_chs_khazag_roc	-25	0	0	100
wh3_main_chs_kvellig_roc	-25	0	0	100
wh3_main_chs_tong_roc	-25	0	0	100
wh3_main_cth_burning_wind_nomads_ie	20	0	0	40
wh3_main_cth_burning_wind_nomads_roc	-25	0	0	100
wh3_main_cth_celestial_loyalists_ie	20	0	0	40
wh3_main_cth_celestial_loyalists_roc	-25	0	0	100
wh3_main_cth_dissenter_lords_of_jinshen_ie	20	0	0	40
wh3_main_cth_dissenter_lords_of_jinshen_roc	-25	0	0	100
wh3_main_cth_eastern_river_lords_ie	20	0	0	40
wh3_main_cth_imperial_wardens_ie	20	0	0	40
wh3_main_cth_imperial_wardens_roc	-25	0	0	100
wh3_main_cth_rebel_lords_of_nan_yang_ie	20	0	0	40
wh3_main_cth_rebel_lords_of_nan_yang_roc	-25	0	0	100
wh3_main_cth_the_jade_custodians_ie	20	0	0	40
wh3_main_cth_the_jade_custodians_roc	-25	0	0	100
wh3_main_dwf_karak_azorn_ie	20	0	0	40
wh3_main_dwf_karak_azorn_roc	-25	0	0	100
wh3_main_grn_da_cage_breakaz_ie	20	0	0	40
wh3_main_grn_dark_land_orcs_ie	20	0	0	40
wh3_main_grn_dark_land_orcs_roc	-25	0	0	100
wh3_main_grn_dimned_sun_ie	20	0	0	40
wh3_main_grn_drippin_fangs_ie	20	0	0	40
wh3_main_grn_drippin_fangs_roc	-25	0	0	100
wh3_main_grn_moon_howlerz_ie	20	0	0	40
wh3_main_grn_moon_howlerz_roc	-25	0	0	100
wh3_main_grn_slaves_of_zharr_ie	20	0	0	40
wh3_main_grn_tusked_sunz_ie	20	0	0	40
wh3_main_grn_tusked_sunz_roc	-25	0	0	100
wh3_main_ie_vmp_sires_of_mourkain_ie	20	0	0	40
wh3_main_kho_bloody_sword_ie	20	0	0	40
wh3_main_kho_bloody_sword_roc	-25	0	0	100
wh3_main_kho_brazen_throne_ie	20	0	0	40
wh3_main_kho_crimson_skull_ie	20	0	0	40
wh3_main_kho_crimson_skull_roc	-25	0	0	100
wh3_main_kho_karneths_sons_roc	-25	0	0	100
wh3_main_ksl_brotherhood_of_the_bear_ie	20	0	0	40
wh3_main_ksl_druzhina_enclave_ie	20	0	0	40
wh3_main_ksl_druzhina_enclave_roc	-25	0	0	100
wh3_main_ksl_ropsmenn_clan_ie	20	0	0	40
wh3_main_ksl_ropsmenn_clan_roc	-25	0	0	100
wh3_main_ksl_ungol_kindred_ie	20	0	0	40
wh3_main_ksl_ungol_kindred_roc	-25	0	0	100
wh3_main_lzd_tepoks_spawn_ie	20	0	0	40
wh3_main_lzd_tepoks_spawn_roc	-25	0	0	100
wh3_main_nur_bubonic_swarm_ie	20	0	0	40
wh3_main_nur_maggoth_kin_ie	20	0	0	40
wh3_main_nur_maggoth_kin_roc	-25	0	0	100
wh3_main_nur_septic_claw_ie	20	0	0	40
wh3_main_nur_septic_claw_roc	-25	0	0	100
wh3_main_ogr_blood_guzzlers_ie	20	0	0	40
