building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/ovn_fimir_buildings						
ovn_fimir_discovery_1	wh_main_effect_public_order_base		province_to_province_own_unseen	-50.0	-25.0	0.0
ovn_fimir_discovery_1	wh3_main_effect_corruption_chaos_characters		region_to_region_own	1.0	1.0	0.0
ovn_fimir_exp_1	wh_main_effect_force_all_campaign_experience_base_all		province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_exp_1	wh_main_effect_unit_recruitment_points		province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_exp_2	wh_main_effect_force_all_campaign_experience_base_all		province_to_province_own_unseen	2.0	2.0	0.0
ovn_fimir_exp_2	wh_main_effect_unit_recruitment_points		province_to_province_own_unseen	2.0	2.0	0.0
ovn_fimir_garrison_1	wh_main_effect_force_stat_melee_defence_siege_defence		region_to_force_own	4.0	4.0	0.0
ovn_fimir_garrison_1	wh_main_effect_force_stat_leadership_siege_defence		region_to_force_own	2.0	2.0	0.0
ovn_fimir_garrison_2	wh_main_effect_force_stat_melee_defence_siege_defence		region_to_force_own	7.0	7.0	0.0
ovn_fimir_garrison_2	wh_main_effect_force_stat_leadership_siege_defence		region_to_force_own	4.0	4.0	0.0
ovn_fimir_garrison_3	wh_main_effect_force_stat_melee_defence_siege_defence		region_to_force_own	10.0	10.0	0.0
ovn_fimir_garrison_3	wh_main_effect_force_stat_leadership_siege_defence		region_to_force_own	6.0	6.0	0.0
ovn_fimir_growth_1	wh_main_effect_force_all_campaign_recruitment_cost_all		region_to_force_own	-5.0	-3.0	0.0
ovn_fimir_growth_1	wh_main_effect_province_growth_building		region_to_province_own	20.0	10.0	0.0
ovn_fimir_growth_1	wh_main_effect_public_order_base		province_to_province_own_unseen	3.0	2.0	0.0
ovn_fimir_growth_1	wh3_main_effect_corruption_chaos_characters		region_to_region_own	1.0	1.0	0.0
ovn_fimir_growth_2	wh_main_effect_force_all_campaign_recruitment_cost_all		region_to_force_own	-10.0	-5.0	0.0
ovn_fimir_growth_2	wh_main_effect_province_growth_building		region_to_province_own	30.0	15.0	0.0
ovn_fimir_growth_2	wh_main_effect_public_order_base		province_to_province_own_unseen	4.0	2.0	0.0
ovn_fimir_growth_2	wh3_main_effect_corruption_chaos_characters		region_to_region_own	2.0	1.0	0.0
ovn_fimir_growth_3	wh_main_effect_force_all_campaign_recruitment_cost_all		region_to_force_own	-20.0	-10.0	0.0
ovn_fimir_growth_3	wh_main_effect_province_growth_building		region_to_province_own	40.0	20.0	0.0
ovn_fimir_growth_3	wh_main_effect_public_order_base		province_to_province_own_unseen	5.0	3.0	0.0
ovn_fimir_growth_3	wh_main_effect_public_order_osmosis		province_to_province_adjacent_unseen	2.0	2.0	0.0
ovn_fimir_growth_3	wh3_main_effect_corruption_chaos_characters		region_to_region_own	3.0	2.0	0.0
ovn_fimir_sacking_1	wh_main_effect_force_all_campaign_sacking_income		building_to_character_in_adjacent_regions	10.0	5.0	0.0
ovn_fimir_sacking_1	wh3_main_effect_corruption_chaos_characters		region_to_region_own	1.0	1.0	0.0
ovn_fimir_sacking_2	wh_main_effect_force_all_campaign_sacking_income		building_to_character_in_adjacent_regions	20.0	10.0	0.0
ovn_fimir_sacking_2	wh3_main_effect_corruption_chaos_characters		region_to_region_own	3.0	2.0	0.0
ovn_fimir_sacking_3	wh_main_effect_force_all_campaign_sacking_income		building_to_character_in_adjacent_regions	30.0	15.0	0.0
ovn_fimir_sacking_3	wh3_main_effect_corruption_chaos_characters		region_to_region_own	5.0	3.0	0.0
ovn_fimir_agrul_migdhal_landmark	wh_main_effect_economy_gdp_manufacture		building_to_building_own	1000.0	500.0	0.0
ovn_fimir_beast_2	ovn_fim_effect_agent_cap_increase_dignitary_fimir_balefiend		faction_to_faction_own_unseen	1.0	1.0	0.0
ovn_fimir_beast_2	ovn_fim_effect_agent_enable_recruitment_dignitary_fimir_balefiend		province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_beast_2	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod		faction_to_force_own	2.0	1.0	0.0
ovn_fimir_beast_3	ovn_fim_effect_agent_cap_increase_dignitary_fimir_balefiend		faction_to_faction_own_unseen	2.0	1.0	0.0
ovn_fimir_beast_3	ovn_fim_effect_agent_enable_recruitment_dignitary_fimir_balefiend		province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_beast_3	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod		faction_to_force_own	4.0	2.0	0.0
ovn_fimir_beast_3	ovn_fim_effect_agent_recruitment_xp_dignitary_fimir_balefiend		province_to_province_own_unseen	1.0	1.0	0.0
ovn_fimir_agrul_migdhal_landmark	wh2_main_effect_economy_gdp_slaves_def		building_to_building_own	15.0	8.0	0.0
ovn_fimir_agrul_migdhal_landmark	wh2_main_effect_slave_decline_modifier		province_to_province_own	-50.0	-25.0	0.0
ovn_fimir_agrul_migdhal_landmark	wh2_main_effect_slave_income_modifier		province_to_province_own	25.0	25.0	0.0
ovn_fimir_agrul_migdhal_landmark	wh2_main_effect_slave_public_order_modifier		province_to_province_own	-30.0	-15.0	0.0
ovn_fimir_income_1	wh2_main_effect_slave_decline_modifier		province_to_province_own	5.0	4.0	0.0
ovn_fimir_income_1	wh_main_effect_economy_gdp_manufacture		building_to_building_own	200.0	100.0	0.0
ovn_fimir_income_1	wh_main_effect_public_order_base		province_to_province_own	-2.0	-4.0	0.0
ovn_fimir_income_2	wh2_main_effect_slave_decline_modifier		province_to_province_own	10.0	8.0	0.0
ovn_fimir_income_2	wh_main_effect_economy_gdp_manufacture		building_to_building_own	300.0	150.0	0.0
ovn_fimir_income_2	wh_main_effect_public_order_base		province_to_province_own	-4.0	-7.0	0.0
ovn_fimir_income_3	wh2_main_effect_slave_decline_modifier		province_to_province_own	15.0	12.0	0.0
ovn_fimir_income_3	wh_main_effect_economy_gdp_manufacture		building_to_building_own	400.0	200.0	0.0
