key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/ovn_fimir_only							
fim_cav_bog_beast_rider	hu7d_fimir_2handed_axe	fim_bog_beast_rider	wh_main_cavalry_rider_standard_blood		false	true	false
fim_death_quest_officer	hu7d_fimir_dual_axes	fim_death_quest_officer	ovn_lesser_fimir		false	true	false
fim_death_quest_balefiend	hu7d_fimir_dual_axes	fim_death_quest_balefiend	ovn_lesser_fimir		false	true	false
fim_killing_eye_officer	hu7d_fimir_dual_axes	fim_killing_eye_officer	ovn_lesser_fimir		false	true	false
fim_shrine_balor_eye_tyrant	sn2_eye_tyrant_2h_halberd	fim_eye_tyrant	wh2_dlc14_def_mon_medusa	wh2_dlc14_def_veh_bloodwrack_shrine_medusa	true	true	false
fim_shrine_balor_balefiend	hu7d_ovn_fimir_2handed_staff_ranged	wh_dlc08_nor_fimir_balefiend	wh_main_cavalry_rider_standard_blood	fim_shrine_balor_balefiend	false	true	false
fim_cav_marsh_hornets_rider	hu7d_ovn_fimir_axe_and_shield	fim_marsh_hornets_ror	wh_main_cavalry_rider_standard_blood		false	true	false
fim_cha_fimirach_noble_bog_beast	hu7d_fimir_lz1_bogbeast_2h	fim_fimirach_noble	wh_main_cavalry_rider_standard_blood		false	true	true
fim_skattach_palanquin_skattach	hu7d_fim_skattach_thh7d_palanquin	fim_meargh_skattach	wh_main_infantry_standard_wizard_rider_blood_dismembers		true	true	true
