member	action_result
#campaign_group_member_criteria_action_results_tables;0;db/campaign_group_member_criteria_action_results_tables/ovn_fimir	
wh_dlc10_feed_agent_action_shadow_walker_hinder_character_fimir	wh2_dlc10_agent_action_shadow_walker_hinder_agent_success
wh_event_feed_agent_action_all_failure_critical_hinder_army_fimir	wh_main_agent_action_all_hinder_army_critical_failure
wh_event_feed_agent_action_all_failure_critical_hinder_character_fimir	wh_main_agent_action_all_hinder_character_critical_failure
wh_event_feed_agent_action_all_failure_critical_hinder_province_fimir	wh_main_agent_action_all_hinder_settlement_critical_failure
wh_event_feed_agent_action_all_failure_hinder_army_fimir	wh_main_agent_action_all_hinder_army_failure
wh_event_feed_agent_action_all_failure_hinder_character_fimir	wh_main_agent_action_all_hinder_character_failure
wh_event_feed_agent_action_all_failure_hinder_province_fimir	wh_main_agent_action_all_hinder_settlement_failure
wh_event_feed_agent_action_all_hinder_character_fimir	wh_main_agent_action_all_hinder_agent_success
wh_event_feed_agent_action_all_success_critical_hinder_character_fimir	wh_main_agent_action_all_hinder_agent_critical_success
wh_event_feed_agent_action_champion_hinder_army_fimir	wh2_main_agent_action_hinder_army_success_assault_units
wh_event_feed_agent_action_champion_hinder_settlement_fimir	wh2_main_agent_action_hinder_settlement_success_assault_garrison
wh_event_feed_agent_action_champion_hinder_settlement_plague_priest_fimir	wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual
wh_event_feed_agent_action_champion_hinder_settlement_warlock_engineer_fimir	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual
wh_event_feed_agent_action_dignitary_hinder_army_fimir	wh2_main_agent_action_hinder_army_success_hinder_replenishment
wh_event_feed_agent_action_dignitary_hinder_settlement_fimir	wh2_main_agent_action_hinder_settlement_success_damage_building
wh_event_feed_agent_action_engineer_hinder_settlement_fimir	wh2_main_agent_action_hinder_settlement_success_steal_technology
wh_event_feed_agent_action_hinder_settlement_gain_influence_fimir	wh2_main_agent_action_hinder_settlement_success_gain_influence
wh_event_feed_agent_action_spy_hinder_army_fimir	wh2_main_agent_action_hinder_army_success_block_army
wh_event_feed_agent_action_spy_hinder_settlement_fimir	wh2_main_agent_action_hinder_settlement_success_damage_walls
wh_event_feed_agent_action_wizard_hinder_army_fimir	wh2_main_agent_action_hinder_army_success_assault_unit
