member	context	max_range	min_range
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/ovn_fimir_only			
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_0	VALUE	499	0
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_1	VALUE	1999	500
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_2	VALUE	4999	2000
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_3	VALUE	9999	5000
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_max	VALUE	100	100
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_0	VALUE	499	0
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_1	VALUE	1999	500
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_2	VALUE	4999	2000
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_3	VALUE	9999	5000
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_max	VALUE	100	100
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_0	VALUE	499	0
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_1	VALUE	1999	500
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_2	VALUE	4999	2000
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_3	VALUE	9999	5000
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_max	VALUE	100	100
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_0	VALUE	499	0
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_1	VALUE	1999	500
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_2	VALUE	4999	2000
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_3	VALUE	9999	5000
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_max	VALUE	100	100
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_0	VALUE	499	0
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_1	VALUE	1999	500
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_2	VALUE	4999	2000
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_3	VALUE	9999	5000
