key	use_unit_exp_level_range	min_unit_exp_level_inclusive	max_unit_exp_level_inclusive	special_category
#unit_sets_tables;2;db/unit_sets_tables/ovn_fimir_only				
mp_cap_ovn_killing_eye	false	-1	-1	
mp_cap_ovn_gharnus_demon	false	-1	-1	
first_wave	false	-1	-1	
swamp_warriors	false	-1	-1	
fimir_rushers	false	-1	-1	
fimir_giants_fen	false	-1	-1	
fimir_bog_monsters	false	-1	-1	
fimir_r7_warriors	true	7	9	
fimir_r7_fast	true	7	9	
fimir_r7_giants	true	7	9	
fimir_r7_auxillaries	true	7	9	
fimir_slaves	false	-1	-1	
fimir_warrior_caste	false	-1	-1	
fimir_untamed_monsters	false	-1	-1	
elo_fimir_shearl	false	-1	-1	
elo_fimir_useful_shearls	false	-1	-1	
elo_fimir_apprentices	false	-1	-1	
elo_low_level_swamp_dwellers	false	-1	-1	
elo_fimir_trolls	false	-1	-1	
elo_swamp_riders	false	-1	-1	
elo_fen_big_dwellers	false	-1	-1	
elo_fen_monster_rulers	false	-1	-1	
elo_fen_lord_heroes	false	-1	-1	
fim_all_generic_characters	false	-1	-1	
elo_champions_chaos_r7	true	7	9	
fim_skattach_daemons	false	-1	-1	
fim_skattach_fianna	false	-1	-1	
fim_skattach_apprentices	false	-1	-1	
mp_cap_ovn_fimm_warriors_axe_throwers_ror	false	-1	-1	
ovn_fim_bog_octopus_0	false	-1	-1	
ovn_fim_kroll	false	-1	-1	
