ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/ovn_fimir_only	
fim_skattach_summon_swampdaemons	fim_skattach_summon_swampdaemons
fim_skattach_summon_swampdaemons	wh_main_all_direct_damage_unbinding
fim_skattach_poison_mist	wh_main_all_direct_damage
fim_skattach_poison_mist	wh3_dlc20_ability_intensity_time_in_melee
fim_meargh_skattach_staff_balor_ability	wh2_main_all_good_against_armour
fim_meargh_skattach_staff_balor_ability	wh2_main_spell_stationary_aoe
fim_meargh_skattach_staff_balor_ability	wh_main_all_strong_against_units
ovn_fim_kroll_fulcrum_of_worship	wh3_dlc20_ability_intensity_nearby_deaths
ovn_fim_kroll_mother_young	wh3_main_ability_intensity_enemy_low_morale_nearby
ovn_fim_kroll_mother_young	wh_main_all_replenish
ovn_fim_kroll_broodmother	wh_main_all_direct_damage
ovn_fim_kroll_broodmother	ovn_fim_kroll_summon_hatchling
ovn_fim_kroll_broodmother	ovn_fim_kroll_inoculate
ovn_fim_kroll_broodmother	wh_main_all_direct_damage_unbinding
fim_skattach_madness	wh3_dlc20_ability_intensity_combined_time_in_melee_and_ability_wind_up
