id	dilemma_key	option_key	value	target
#cdir_events_dilemma_option_junctions_tables;1;db/cdir_events_dilemma_option_junctions_tables/ovn_fimir				
976962551	fimir_eye_of_the_gods	GEN_CND_OWNS		target_military_1
976962552	fimir_eye_of_the_gods	GEN_TARGET_CHARACTER		target_character_2
976962553	fimir_eye_of_the_gods	GEN_TARGET_MILITARY_FORCE		default
976962554	fimir_eye_of_the_gods	GEN_CND_OWNS		target_character_2
976962555	fimir_eye_of_the_gods	GEN_CND_SELF		target_faction_1
976962556	fimir_eye_of_the_gods	GEN_TARGET_MILITARY_FORCE		target_military_1
976962557	fimir_eye_of_the_gods	GEN_CND_OWNS		target_character_1
976962558	fimir_eye_of_the_gods	GEN_TARGET_FACTION		target_faction_2
976962559	fimir_eye_of_the_gods	GEN_CND_WAR		target_faction_2
976962560	fimir_eye_of_the_gods	GEN_TARGET_CHARACTER		target_character_1
976962561	fimir_eye_of_the_gods	GEN_CND_FACTION_LEADER		target_character_2
976962562	fimir_eye_of_the_gods	GEN_TARGET_FACTION		target_faction_1
976962563	fimir_eye_of_the_gods	GEN_CND_NOT_FACTION_LEADER		target_character_1
