item	set	initially_locked
#initiative_set_items_tables;1;db/initiative_set_items_tables/ovn_fimir_only		
ovn_fim_skattach_initiative_chs_khorne_1_army_xp	ovn_fim_skattach_faction_initiative_set_chs_khorne	false
ovn_fim_skattach_initiative_chs_khorne_1_economy_post_battle_income	ovn_fim_skattach_faction_initiative_set_chs_khorne	false
ovn_fim_skattach_initiative_chs_khorne_1_units_bloodletters	ovn_fim_skattach_faction_initiative_set_chs_khorne	false
ovn_fim_skattach_initiative_chs_khorne_1_units_flesh_hounds	ovn_fim_skattach_faction_initiative_set_chs_khorne	false
ovn_fim_skattach_initiative_chs_khorne_3_units_skullcannons	ovn_fim_skattach_faction_initiative_set_chs_khorne	false
ovn_fim_skattach_initiative_chs_khorne_5_units_bloodthirsters	ovn_fim_skattach_faction_initiative_set_chs_khorne	false
ovn_fim_skattach_initiative_chs_khorne_5_units_soul_grinder	ovn_fim_skattach_faction_initiative_set_chs_khorne	false
ovn_fim_skattach_initiative_chs_nurgle_1_army_replenishment	ovn_fim_skattach_faction_initiative_set_chs_nurgle	false
ovn_fim_skattach_initiative_chs_nurgle_1_economy_growth	ovn_fim_skattach_faction_initiative_set_chs_nurgle	false
ovn_fim_skattach_initiative_chs_nurgle_1_units_beast_of_nurgle	ovn_fim_skattach_faction_initiative_set_chs_nurgle	false
ovn_fim_skattach_initiative_chs_nurgle_1_units_plaguebearers	ovn_fim_skattach_faction_initiative_set_chs_nurgle	false
ovn_fim_skattach_initiative_chs_nurgle_3_units_plague_drones	ovn_fim_skattach_faction_initiative_set_chs_nurgle	false
ovn_fim_skattach_initiative_chs_nurgle_5_units_great_unclean_one	ovn_fim_skattach_faction_initiative_set_chs_nurgle	false
ovn_fim_skattach_initiative_chs_nurgle_5_units_soul_grinder	ovn_fim_skattach_faction_initiative_set_chs_nurgle	false
ovn_fim_skattach_initiative_chs_slaanesh_1_army_movement	ovn_fim_skattach_faction_initiative_set_chs_slaanesh	false
ovn_fim_skattach_initiative_chs_slaanesh_1_economy_control	ovn_fim_skattach_faction_initiative_set_chs_slaanesh	false
ovn_fim_skattach_initiative_chs_slaanesh_1_units_daemonettes	ovn_fim_skattach_faction_initiative_set_chs_slaanesh	false
ovn_fim_skattach_initiative_chs_slaanesh_1_units_seeker_chariots	ovn_fim_skattach_faction_initiative_set_chs_slaanesh	false
ovn_fim_skattach_initiative_chs_slaanesh_3_units_fiends	ovn_fim_skattach_faction_initiative_set_chs_slaanesh	false
ovn_fim_skattach_initiative_chs_slaanesh_5_units_keeper_of_secrets	ovn_fim_skattach_faction_initiative_set_chs_slaanesh	false
ovn_fim_skattach_initiative_chs_slaanesh_5_units_soul_grinder	ovn_fim_skattach_faction_initiative_set_chs_slaanesh	false
ovn_fim_skattach_initiative_chs_tzeentch_1_army_winds	ovn_fim_skattach_faction_initiative_set_chs_tzeentch	false
ovn_fim_skattach_initiative_chs_tzeentch_1_economy_technology	ovn_fim_skattach_faction_initiative_set_chs_tzeentch	false
ovn_fim_skattach_initiative_chs_tzeentch_1_units_pink_horrors	ovn_fim_skattach_faction_initiative_set_chs_tzeentch	false
ovn_fim_skattach_initiative_chs_tzeentch_1_units_screamers	ovn_fim_skattach_faction_initiative_set_chs_tzeentch	false
ovn_fim_skattach_initiative_chs_tzeentch_3_units_flamers	ovn_fim_skattach_faction_initiative_set_chs_tzeentch	false
ovn_fim_skattach_initiative_chs_tzeentch_5_units_lord_of_Change	ovn_fim_skattach_faction_initiative_set_chs_tzeentch	false
ovn_fim_skattach_initiative_chs_tzeentch_5_units_soul_grinder	ovn_fim_skattach_faction_initiative_set_chs_tzeentch	false
ovn_fim_skattach_initiative_chs_undivided_1_army_marauders	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_1_economy_building	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_1_units_furies	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_1b_units_furies	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_1c_units_furies	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_2_army_upgrades	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_2_economy_vassals	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_2_xp_sharing	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_3_army_elites	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_3_units_hellcannons	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_3_units_warshrine	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
ovn_fim_skattach_initiative_chs_undivided_5_units_shaggoths	ovn_fim_skattach_faction_initiative_set_chs_undivided	false
