unique_id	factor	resource	minimum	maximum	specific_faction_set
#pooled_resource_factor_junctions_tables;2;db/pooled_resource_factor_junctions_tables/ovn_fimir					
ovn_fimir_slaves_battles	battles	ovn_fimir_slaves	-2147483647	2147483647	
ovn_fimir_slaves_buildings	buildings	ovn_fimir_slaves	0	2147483647	
ovn_fimir_slaves_buildings_negative	camp_buildings	ovn_fimir_slaves	-2147483647	0	
ovn_fimir_slaves_characters	characters	ovn_fimir_slaves	0	2147483647	
ovn_fimir_slaves_commandments	commandments	ovn_fimir_slaves	-2147483647	2147483647	
ovn_fimir_slaves_corruption	wh2_dlc16_resource_factor_corruption	ovn_fimir_slaves	-2147483647	2147483647	
ovn_fimir_slaves_missions	missions	ovn_fimir_slaves	-2147483647	2147483647	
ovn_fimir_slaves_rites	rites	ovn_fimir_slaves	-2147483647	0	
ovn_fim_skattach_slaves_spent_kho_sacrifices_upkeep	gifts_of_chaos_upkeep	ovn_fim_skattach_slaves_spent_kho	0	2147483647	
ovn_fim_skattach_slaves_spent_nur_sacrifices_upkeep	gifts_of_chaos_upkeep	ovn_fim_skattach_slaves_spent_nur	0	2147483647	
ovn_fim_skattach_slaves_spent_sla_sacrifices_upkeep	gifts_of_chaos_upkeep	ovn_fim_skattach_slaves_spent_sla	0	2147483647	
ovn_fim_skattach_slaves_spent_tze_sacrifices_upkeep	gifts_of_chaos_upkeep	ovn_fim_skattach_slaves_spent_tze	0	2147483647	
ovn_fim_skattach_slaves_spent_und_sacrifices_upkeep	gifts_of_chaos_upkeep	ovn_fim_skattach_slaves_spent_und	0	2147483647	
ovn_fim_skattach_slaves_spent_kho_sacrifices	gifts_of_chaos	ovn_fim_skattach_slaves_spent_kho	0	2147483647	
ovn_fim_skattach_slaves_spent_nur_sacrifices	gifts_of_chaos	ovn_fim_skattach_slaves_spent_nur	0	2147483647	
ovn_fim_skattach_slaves_spent_sla_sacrifices	gifts_of_chaos	ovn_fim_skattach_slaves_spent_sla	0	2147483647	
ovn_fim_skattach_slaves_spent_tze_sacrifices	gifts_of_chaos	ovn_fim_skattach_slaves_spent_tze	0	2147483647	
ovn_fim_skattach_slaves_spent_und_sacrifices	gifts_of_chaos	ovn_fim_skattach_slaves_spent_und	0	2147483647	
