key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constant	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/ovn_fimir_only																																																								
ovn_fim_cavalry_bog_beast_blood	giant	2.0	7.0	4.0	6.0	10.0	50.0	40.0	35.0	3.8	capsule	0.36	2800.0	1.0	70.0	90.0	8	true	true	1.0	0.0	0.0	large	1.0	rotation_x	wh2_dlc12_salamander	0.0	cavalry_effects	0	0	0.0	false	1.0	0.85	2			0.5	1.6	90	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
ovn_mistmor	giant	2.0	4.6	4.0	5.0	7.8	45.0	30.0	30.0	1.2	circle	1.0	1300.0	3.0	60.0	80.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh2_kroxigor_ancient_LH	3.0	monstrous_infantry_effects	30	30	0.0	false	0.8	0.75	3			0.5	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	40	large_entity	false	1.0	1.0	1.0	1.0		false
ovn_lesser_fimir	man	1.7	4.0	3.0	4.0	5.0	38.0	32.0	32.0	0.7	circle	1.0	150.0	2.0	60.0	90.0	8	true	true	0.0	0.0	0.0	small	1.0	ignore	none	0.0	infantry_light_effects	0	0	0.0	true	1.0	0.9	2			0.5	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	25	small_entity	false	1.0	1.0	1.0	1.0		false
ovn_lesser_fimir_fanatic	man	1.7	4.0	3.0	4.0	5.0	38.0	32.0	32.0	0.8	circle	1.0	230.0	2.0	60.0	90.0	8	true	true	0.0	0.0	0.0	small	1.0	ignore	none	0.0	infantry_light_effects	15	0	0.0	true	1.0	0.9	2			0.5	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	25	small_entity	false	1.0	1.0	1.0	1.0		false
aky_chief_fimir_great_weapons	giant	2.0	4.5	3.0	3.0	6.5	40.0	35.0	35.0	1.2	circle	1.0	4000.0	3.0	60.0	80.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh_troll	3.0	monstrous_infantry_effects	70	60	0.0	false	0.8	0.75	5			0.5	1.45	26	false		true	false	wh_main_unit_combat	-1.0	-1.0	40	large_entity	false	1.0	1.0	1.0	1.0		false
fim_daemonomaniac	giant	2.6	4.6	4.0	5.0	6.5	45.0	35.0	35.0	2.4	circle	1.0	6500.0	8.0	60.0	70.0	8	true	true	0.0	0.0	0.0	very_large	1.0	ignore	none	6.0	giant_effects	50	50	0.0	false	0.8	0.75	5			0.3	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	30	very_large_entity	false	1.0	1.0	1.0	1.0		true
fim_swamp_daemons	man	1.5	4.6	4.0	5.0	5.0	35.0	30.0	30.0	0.75	circle	1.0	230.0	2.0	60.0	90.0	8	true	true	0.0	0.0	0.0	small	1.0	ignore	none	0.0	infantry_light_effects	0	0	0.0	true	1.0	0.9	1			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	40	small_entity	false	1.0	1.0	1.0	1.0		false
fim_fenbeast_draught	horse	1.5	4.2	5.5	7.0	7.8	40.0	35.0	25.0	1.85	capsule	0.67	1500.0	3.0	60.0	60.0	8	true	true	1.0	0.0	0.0	large	1.0	rotation_x	wh_chariot_wood	3.0	monstrous_infantry_effects	40	40	0.0	false	1.0	0.8	4			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		true
fim_eye_oculus_articulation	chariot	1.5	4.8	4.0	6.0	7.0	30.0	25.0	25.0	4.0	capsule	0.42	1700.0	7.0	40.0	60.0	8	true	true	2.8	0.0	0.0	very_large	1.0	rotation	wh_chariot_wood	3.0	artillery_effects	0	0	0.5	false	1.0	0.8	4			0.5	1.45	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	articulated_entity	false	1.0	1.0	1.0	1.0		false
albion_fenhulk	giant	2.6	3.8	2.0	3.0	4.4	35.0	30.0	30.0	2.4	circle	1.0	10000.0	8.0	60.0	60.0	8	true	true	0.0	0.0	0.0	very_large	1.0	ignore	wh2_tmb_hierotitan	6.0	giant_effects	75	60	0.0	false	0.8	0.75	5			0.3	1.45	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	10	very_large_entity	false	0.0	0.0	0.0	1.0		true
fim_skattach_palanquin	giant	1.3	3.0	2.0	4.0	4.0	30.0	30.0	30.0	1.6	capsule	0.85	2500.0	6.0	60.0	80.0	8	true	true	1.0	0.0	0.0	large	1.0	rotation	wh_dwarf_throne_of_power_LH	3.0	infantry_effects_noblood	70	80	0.0	false	1.0	0.8	4	wh_main_generic_character_aura		0.5	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		true
ovn_fim_mon_bog_octopus_blood	giant	2.0	5.0	2.6	4.0	8.0	35.0	30.0	30.0	5.3	capsule	0.7	5500.0	6.0	60.0	60.0	8	true	true	0.0	0.0	0.0	very_large	1.0	rotation	wh2_dlc11_cst_rotting_leviathan	7.0	war_beast_effects	70	60	-1.7	false	0.8	0.75	5			0.25	1.45	61	false		true	false	wh_main_unit_combat	-1.0	-1.0	15	very_large_entity	false	1.0	1.0	1.0	1.0		true
ovn_fim_mon_kroll_blood	giant	2.0	5.0	2.6	4.0	8.0	40.0	35.0	35.0	6.0	capsule	0.7	6000.0	8.0	60.0	60.0	8	true	true	0.0	0.0	0.0	very_large	1.0	rotation	wh2_dlc11_cst_rotting_leviathan	7.0	war_beast_effects	70	60	-1.7	false	0.8	0.75	5	wh_main_generic_character_aura		0.25	1.45	61	false		true	false	wh_main_unit_combat	-1.0	-1.0	15	very_large_entity	false	1.0	1.0	1.0	1.0		true
