key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/ovn_fimir_only	
hu7d_ovn_fimir_axe_and_javelin	humanoid07d
hu7d_ovn_fimir_2handed_staff_ranged	humanoid07d
hu7d_ovn_fimir_dual_axes	humanoid07d
hu7d_ovn_fimir_shearl	humanoid07d
hu7d_ovn_fimir_2handed_axe	humanoid07d
hu7d_ovn_fimir_axe_and_shield	humanoid07d
hu8_swamp_daemon	humanoid08
sn2_eye_tyrant_2h_halberd	snake02
lz1_bogbeast	lizard01
hu7d_fimir_lz1_bogbeast_hammer	humanoid07d
hu7d_mistmor_2h_axe	humanoid07d
wf1_giant_wolf_daemonic	wolf01
hu7d_daemonomaniac	humanoid07d
hu7d_fim_skattach_thh7d_palanquin	humanoid07d
th07d_fimir_palanquin	throne07d
hr1_nuckelavee_horse	horse01
hu1_hr1_nuckelavee_rider	humanoid01
hu11b_fimir_daemonomaniac_ror	humanoid11b
hu7d_fimir_lz1_bogbeast_2h	humanoid07d
hc5_fim_bog_octopus	hybridcreature05
hc5_fim_bog_octopus_kroll	hybridcreature05
