agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/ovn_fimir_only		
colonel	ovn_fim_rancor_hold	aky_chief_fimir_great_weapons
colonel	ovn_fim_rancor_hold	fim_dirach_lord_beasts
colonel	ovn_fim_rancor_hold	fim_dirach_lord_death
colonel	ovn_fim_rancor_hold	fim_dirach_lord_fire
colonel	ovn_fim_rancor_hold	fim_dirach_lord_shadow
dignitary	ovn_fim_rancor_hold	wh_dlc08_nor_fimir_balefiend_fire
dignitary	ovn_fim_rancor_hold	wh_dlc08_nor_fimir_balefiend_shadow
general	ovn_fim_rancor_hold	aky_chief_fimir_great_weapons
wizard	ovn_fim_rancor_hold	elo_boglar_shaman
general	ovn_fim_rancor_hold	fim_meargh_skattach
dignitary	ovn_fim_rancor_hold	wh_dlc08_nor_cha_fimir_balefiend_death
dignitary	ovn_fim_rancor_hold	wh_dlc08_nor_cha_fimir_balefiend_beast
general	ovn_fim_rancor_hold	fim_dirach_lord_beasts
general	ovn_fim_rancor_hold	fim_dirach_lord_death
general	ovn_fim_rancor_hold	fim_dirach_lord_fire
general	ovn_fim_rancor_hold	fim_dirach_lord_shadow
champion	ovn_fim_rancor_hold	fim_finmor
colonel	ovn_fim_tendrils_of_doom	aky_chief_fimir_great_weapons_kroll
colonel	ovn_fim_tendrils_of_doom	fim_dirach_lord_beasts
colonel	ovn_fim_tendrils_of_doom	fim_dirach_lord_death
colonel	ovn_fim_tendrils_of_doom	fim_dirach_lord_fire
colonel	ovn_fim_tendrils_of_doom	fim_dirach_lord_shadow
dignitary	ovn_fim_tendrils_of_doom	wh_dlc08_nor_fimir_balefiend_fire
dignitary	ovn_fim_tendrils_of_doom	wh_dlc08_nor_fimir_balefiend_shadow
general	ovn_fim_tendrils_of_doom	aky_chief_fimir_great_weapons_kroll
wizard	ovn_fim_tendrils_of_doom	elo_boglar_shaman
general	ovn_fim_tendrils_of_doom	fim_daemon_octopus_kroll
dignitary	ovn_fim_tendrils_of_doom	wh_dlc08_nor_cha_fimir_balefiend_death
dignitary	ovn_fim_tendrils_of_doom	wh_dlc08_nor_cha_fimir_balefiend_beast
general	ovn_fim_tendrils_of_doom	fim_dirach_lord_beasts
general	ovn_fim_tendrils_of_doom	fim_dirach_lord_death
general	ovn_fim_tendrils_of_doom	fim_dirach_lord_fire
general	ovn_fim_tendrils_of_doom	fim_dirach_lord_shadow
champion	ovn_fim_tendrils_of_doom	fim_finmor_kroll
colonel	ovn_fim_mist_dragons	aky_chief_fimir_great_weapons_kroll
colonel	ovn_fim_mist_dragons	fim_dirach_lord_beasts
colonel	ovn_fim_mist_dragons	fim_dirach_lord_death
colonel	ovn_fim_mist_dragons	fim_dirach_lord_fire
colonel	ovn_fim_mist_dragons	fim_dirach_lord_shadow
dignitary	ovn_fim_mist_dragons	wh_dlc08_nor_fimir_balefiend_fire
dignitary	ovn_fim_mist_dragons	wh_dlc08_nor_fimir_balefiend_shadow
general	ovn_fim_mist_dragons	aky_chief_fimir_great_weapons_kroll
wizard	ovn_fim_mist_dragons	elo_boglar_shaman
general	ovn_fim_mist_dragons	fim_daemon_octopus_kroll
dignitary	ovn_fim_mist_dragons	wh_dlc08_nor_cha_fimir_balefiend_death
dignitary	ovn_fim_mist_dragons	wh_dlc08_nor_cha_fimir_balefiend_beast
general	ovn_fim_mist_dragons	fim_dirach_lord_beasts
general	ovn_fim_mist_dragons	fim_dirach_lord_death
general	ovn_fim_mist_dragons	fim_dirach_lord_fire
general	ovn_fim_mist_dragons	fim_dirach_lord_shadow
champion	ovn_fim_mist_dragons	fim_finmor_kroll
colonel	ovn_fim_marsh_hornets	aky_chief_fimir_great_weapons_kroll
colonel	ovn_fim_marsh_hornets	fim_dirach_lord_beasts
colonel	ovn_fim_marsh_hornets	fim_dirach_lord_death
colonel	ovn_fim_marsh_hornets	fim_dirach_lord_fire
colonel	ovn_fim_marsh_hornets	fim_dirach_lord_shadow
dignitary	ovn_fim_marsh_hornets	wh_dlc08_nor_fimir_balefiend_fire
dignitary	ovn_fim_marsh_hornets	wh_dlc08_nor_fimir_balefiend_shadow
general	ovn_fim_marsh_hornets	aky_chief_fimir_great_weapons_kroll
wizard	ovn_fim_marsh_hornets	elo_boglar_shaman
general	ovn_fim_marsh_hornets	fim_daemon_octopus_kroll
dignitary	ovn_fim_marsh_hornets	wh_dlc08_nor_cha_fimir_balefiend_death
dignitary	ovn_fim_marsh_hornets	wh_dlc08_nor_cha_fimir_balefiend_beast
general	ovn_fim_marsh_hornets	fim_dirach_lord_beasts
general	ovn_fim_marsh_hornets	fim_dirach_lord_death
general	ovn_fim_marsh_hornets	fim_dirach_lord_fire
general	ovn_fim_marsh_hornets	fim_dirach_lord_shadow
champion	ovn_fim_marsh_hornets	fim_finmor_kroll
