key	effects	duration	expended_cost	required_cost	image_path	upkeep_cost
#initiatives_tables;5;db/initiatives_tables/ovn_fimir_only						
ovn_fim_skattach_initiative_chs_khorne_1_army_xp	wh3_dlc20_faction_initiative_chs_khorne_1_army_xp	-1	ovn_fim_skattach_initiative_slaves_kho_t1	ovn_fim_skattach_initiative_slaves_kho_t1_sacrifice_requirements	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_1.png	ovn_fim_skattach_initiative_slaves_kho_upkeep_t1
ovn_fim_skattach_initiative_chs_khorne_1_economy_post_battle_income	wh3_dlc20_faction_initiative_chs_khorne_1_economy_post_battle_income	-1	ovn_fim_skattach_initiative_slaves_kho_t1	ovn_fim_skattach_initiative_slaves_kho_t1	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_1.png	ovn_fim_skattach_initiative_slaves_kho_upkeep_t1
ovn_fim_skattach_initiative_chs_khorne_1_units_bloodletters	wh3_dlc20_faction_initiative_chs_khorne_1_units_bloodletters	-1	ovn_fim_skattach_initiative_slaves_kho_t1	ovn_fim_skattach_initiative_slaves_kho_t1	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_1.png	ovn_fim_skattach_initiative_slaves_kho_upkeep_t1
ovn_fim_skattach_initiative_chs_khorne_1_units_flesh_hounds	wh3_dlc20_faction_initiative_chs_khorne_1_units_flesh_hounds	-1	ovn_fim_skattach_initiative_slaves_kho_t1	ovn_fim_skattach_initiative_slaves_kho_t1	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_1.png	ovn_fim_skattach_initiative_slaves_kho_upkeep_t1
ovn_fim_skattach_initiative_chs_khorne_2_army_upgrades	wh3_dlc20_faction_initiative_chs_khorne_2_army_upgrades	-1	ovn_fim_skattach_initiative_slaves_kho_t2	ovn_fim_skattach_initiative_slaves_kho_t2_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_2.png	ovn_fim_skattach_initiative_slaves_kho_upkeep_t2
ovn_fim_skattach_initiative_chs_khorne_3_characters_marking	wh3_dlc20_faction_initiative_chs_khorne_3_characters_marking	-1	ovn_fim_skattach_initiative_slaves_kho_t3	ovn_fim_skattach_initiative_slaves_kho_t3_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_3.png	ovn_fim_skattach_initiative_slaves_kho_upkeep_t3
ovn_fim_skattach_initiative_chs_khorne_3_units_skullcannons	wh3_dlc20_faction_initiative_chs_khorne_3_units_skullcannons	-1	ovn_fim_skattach_initiative_slaves_kho_t3	ovn_fim_skattach_initiative_slaves_kho_t3_sacrifice_requirement_high	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_3.png	ovn_fim_skattach_initiative_slaves_kho_upkeep_t3
ovn_fim_skattach_initiative_chs_khorne_3_units_warshrine	wh3_dlc20_faction_initiative_chs_khorne_3_units_warshrine	-1	ovn_fim_skattach_initiative_slaves_kho_t4	ovn_fim_skattach_initiative_slaves_kho_t4_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_4.png	ovn_fim_skattach_initiative_slaves_kho_upkeep_t4
ovn_fim_skattach_initiative_chs_khorne_5_units_bloodthirsters	wh3_dlc20_faction_initiative_chs_khorne_5_units_bloodthirsters	-1	ovn_fim_skattach_initiative_slaves_kho_t5	ovn_fim_skattach_initiative_slaves_kho_t5_sacrifice_requirement	UI\skins\default\chaos_gifts\ritual_gift_khorne_rank_5.png	ovn_fim_skattach_initiative_slaves_kho_upkeep_t5
