bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/ovn_fimir_only	
aquatic	fim_cav_marsh_hornets_ror
armoured_and_shielded	fim_cav_marsh_hornets_ror
scaly_skin	fim_cav_marsh_hornets_ror
aquatic	fim_cav_marsh_reavers
armoured	fim_cav_marsh_reavers
scaly_skin	fim_cav_marsh_reavers
anti_infantry	fim_cav_nuckelavee
armour_piercing	fim_cav_nuckelavee
aquatic	fim_cav_nuckelavee
poison	fim_cha_boglar_shaman
spellcaster	fim_cha_boglar_shaman
vanguard_deployment	fim_cha_boglar_shaman
expendable	fim_cha_boglar_shaman
poison	fim_cha_boglar_shaman_hound
spellcaster	fim_cha_boglar_shaman_hound
vanguard_deployment	fim_cha_boglar_shaman_hound
expendable	fim_cha_boglar_shaman_hound
armoured	fim_cha_dirach_beast
spellcaster	fim_cha_dirach_beast
armoured	fim_cha_dirach_death
spellcaster	fim_cha_dirach_death
armoured	fim_cha_dirach_fire
spellcaster	fim_cha_dirach_fire
armoured	fim_cha_dirach_shadow
spellcaster	fim_cha_dirach_shadow
armour_piercing	fim_cha_fimirach_noble
armour_sundering	fim_cha_fimirach_noble
armoured	fim_cha_fimirach_noble
armour_piercing	fim_cha_fimirach_noble_bog_beast
armour_sundering	fim_cha_fimirach_noble_bog_beast
armoured	fim_cha_fimirach_noble_bog_beast
anti_infantry	fim_cha_finmor
armoured_and_shielded	fim_cha_finmor
melee_expert	fim_cha_finmor
spellcaster	fim_cha_meargh_skattach
armour_piercing	fim_cha_meargh_skattach
spellcaster	fim_cha_meargh_skattach_palanquin
armour_piercing	fim_cha_meargh_skattach_palanquin
expendable	fim_inf_boglar
meat_shield	fim_inf_boglar
poor_morale	fim_inf_boglar
damage_dealer	fim_inf_death_quest
frenzy	fim_inf_death_quest
disturbed	fim_inf_death_quest
unbreakable	fim_inf_death_quest
armoured_and_shielded	fim_inf_fimm_warriors
armour_piercing_ranged	fim_inf_fimm_warriors_axe_throwers_ror
armoured	fim_inf_fimm_warriors_axe_throwers_ror
hybrid	fim_inf_fimm_warriors_axe_throwers_ror
armour_piercing	fim_inf_fimm_warriors_great_weapons
armoured	fim_inf_fimm_warriors_great_weapons
disturbed	fim_inf_killing_eye_ror
damage_dealer	fim_inf_killing_eye_ror
unbreakable	fim_inf_killing_eye_ror
frenzy	fim_inf_killing_eye_ror
vanguard_deployment	fim_inf_moor_hounds
very_fast	fim_inf_moor_hounds
scaly_skin	fim_inf_moor_hounds
aquatic	fim_inf_moor_hounds
vanguard_deployment	fim_inf_moor_hounds_ror
very_fast	fim_inf_moor_hounds_ror
terror	fim_inf_moor_hounds_ror
aquatic	fim_inf_moor_hounds_ror
expendable	fim_inf_shearl
decent_melee	fim_inf_shearl_javelineer
stalk	fim_inf_swamp_daemons
scaly_skin	fim_inf_swamp_daemons
damage_dealer	fim_inf_swamp_daemons
aquatic	fim_inf_swamp_daemons
stalk	fim_inf_swamp_daemons_summon
scaly_skin	fim_inf_swamp_daemons_summon
damage_dealer	fim_inf_swamp_daemons_summon
aquatic	fim_inf_swamp_daemons_summon
anti_infantry	fim_mon_balefiend_apprentices
weak_anti_armour	fim_mon_balefiend_apprentices
decent_melee	fim_mon_balefiend_apprentices
anti_large	fim_mon_daemonomaniac
armour_piercing	fim_mon_daemonomaniac
terror	fim_mon_daemonomaniac
anti_large	fim_mon_daemonomaniac_ror
armour_piercing	fim_mon_daemonomaniac_ror
terror	fim_mon_daemonomaniac_ror
regeneration	fim_mon_fenbeast
armour_piercing	fim_mon_fenbeast
regeneration	fim_mon_fenhulk
armour_piercing	fim_mon_fenhulk
defender	fim_mon_fenhulk
terror	fim_mon_fenhulk
armour_piercing	fim_mon_fianna_fimm
armour_sundering	fim_mon_fianna_fimm
armoured	fim_mon_fianna_fimm
anti_large	fim_mon_fianna_fimm_great_weapons
armour_piercing	fim_mon_fianna_fimm_great_weapons
armour_sundering	fim_mon_fianna_fimm_great_weapons
armoured	fim_mon_fianna_fimm_great_weapons
frostbite	fim_mon_gharnus_daemon_ror
armoured_and_shielded	fim_mon_gharnus_daemon_ror
armour_piercing	fim_mon_gharnus_daemon_ror
armoured	fim_mon_mistmor
armour_piercing	fim_mon_mistmor
anti_infantry	fim_veh_eye_oculus
armour_piercing_ranged	fim_veh_eye_oculus
magical_aura	fim_veh_eye_oculus
terror	fim_veh_eye_oculus
armoured	wh_dlc08_nor_cha_fimir_balefiend_beast
spellcaster	wh_dlc08_nor_cha_fimir_balefiend_beast
armoured	wh_dlc08_nor_cha_fimir_balefiend_death
spellcaster	wh_dlc08_nor_cha_fimir_balefiend_death
terror	ovn_fim_mon_bog_octopus_0
aquatic	ovn_fim_mon_bog_octopus_0
armour_piercing	ovn_fim_mon_bog_octopus_0
scaly_skin	ovn_fim_mon_bog_octopus_0
spellcaster	fim_cha_daemon_octopus_kroll
armour_piercing	fim_cha_daemon_octopus_kroll
aquatic	fim_cha_daemon_octopus_kroll
scaly_skin	fim_cha_daemon_octopus_kroll
