ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/ovn_fimir_only	
wh_dlc08_lord_abilities_fight_or_die	fim_cha_fimirach_noble
wh_main_character_abilities_foe_seeker	fim_cha_fimirach_noble
wh_dlc08_unit_passive_from_the_mist	fim_cha_fimirach_noble
ovn_mystic_mist	fim_cha_fimirach_noble
wh3_main_unit_passive_single_entity	fim_cha_fimirach_noble
wh_dlc08_lord_abilities_fight_or_die	fim_cha_fimirach_noble_bog_beast
wh_main_character_abilities_foe_seeker	fim_cha_fimirach_noble_bog_beast
wh_dlc08_unit_passive_from_the_mist	fim_cha_fimirach_noble_bog_beast
ovn_mystic_mist	fim_cha_fimirach_noble_bog_beast
wh3_main_unit_passive_single_entity	fim_cha_fimirach_noble_bog_beast
wh_main_hero_abilities_mad_cap_mushrooms	fim_cha_boglar_shaman
wh3_main_unit_passive_single_entity	fim_cha_boglar_shaman
wh_main_hero_abilities_mad_cap_mushrooms	fim_cha_boglar_shaman_hound
wh3_main_unit_passive_single_entity	fim_cha_boglar_shaman_hound
wh_main_unit_passive_regeneration	fim_mon_fenbeast
wh_main_unit_passive_unstable	fim_mon_fenbeast
wh_main_unit_passive_unstable_mark_ii	fim_mon_fenbeast
magic_siphon	fim_mon_fenbeast
wh_dlc08_unit_passive_from_the_mist	fim_cha_meargh_skattach
fim_skattach_poison_mist	fim_cha_meargh_skattach
fim_skattach_madness	fim_cha_meargh_skattach
fim_skattach_summon_swampdaemons	fim_cha_meargh_skattach
ovn_mystic_mist	fim_cha_meargh_skattach
wh3_main_unit_passive_single_entity	fim_cha_meargh_skattach
wh_dlc08_unit_passive_from_the_mist	fim_cha_meargh_skattach_palanquin
fim_skattach_poison_mist	fim_cha_meargh_skattach_palanquin
fim_skattach_madness	fim_cha_meargh_skattach_palanquin
fim_skattach_summon_swampdaemons	fim_cha_meargh_skattach_palanquin
ovn_fimir_skattach_throne_command_attack	fim_cha_meargh_skattach_palanquin
ovn_fimir_skattach_throne_command_defend	fim_cha_meargh_skattach_palanquin
ovn_mystic_mist	fim_cha_meargh_skattach_palanquin
wh3_main_unit_passive_single_entity	fim_cha_meargh_skattach_palanquin
wh3_main_unit_passive_daemonic_instability_daemon_ii	fim_mon_daemonomaniac
wh3_main_unit_passive_daemonic_instability_daemon	fim_mon_daemonomaniac
wh_main_unit_passive_regeneration	fim_mon_daemonomaniac
wh3_main_unit_passive_single_entity	fim_mon_daemonomaniac
wh3_main_unit_passive_daemonic_instability_daemon_ii	fim_mon_daemonomaniac_ror
wh3_main_unit_passive_daemonic_instability_daemon	fim_mon_daemonomaniac_ror
wh_main_unit_passive_regeneration	fim_mon_daemonomaniac_ror
wh3_main_unit_passive_single_entity	fim_mon_daemonomaniac_ror
wh_main_unit_passive_frenzy	fim_inf_death_quest
wh_dlc08_unit_passive_from_the_mist	fim_inf_death_quest
ovn_unit_passive_aura_great_eye	fim_veh_eye_oculus
ovn_fim_shrine_enshrouded_glory	fim_veh_eye_oculus
wh3_main_unit_passive_single_entity	fim_veh_eye_oculus
wh_dlc08_unit_passive_from_the_mist	fim_mon_fianna_fimm
wh_dlc08_unit_passive_from_the_mist	fim_mon_balefiend_apprentices
wh_dlc08_unit_passive_from_the_mist	fim_inf_shearl_javelineer
wh_dlc08_unit_passive_from_the_mist	fim_cha_dirach_beast
wh_main_character_abilities_arcane_conduit	fim_cha_dirach_beast
wh_main_character_passive_evasion	fim_cha_dirach_beast
ovn_mystic_mist	fim_cha_dirach_beast
wh3_main_unit_passive_single_entity	fim_cha_dirach_beast
wh_dlc08_unit_passive_from_the_mist	fim_cha_dirach_death
