character_skill	character_skill_node	level
#character_skill_nodes_skill_locks_tables;0;db/character_skill_nodes_skill_locks_tables/ovn_araby_only		
roy_skill_champion_arb_guard	wh2_main_skill_node_arb_champion_path_02	1
roy_skill_champion_arb_guard	wh2_main_skill_node_arb_champion_path_03	1
roy_skill_champion_arb_sergeant	wh2_main_skill_node_arb_champion_path_01	1
roy_skill_champion_arb_sergeant	wh2_main_skill_node_arb_champion_path_03	1
roy_skill_champion_arb_warrior	wh2_main_skill_node_arb_champion_path_01	1
roy_skill_champion_arb_warrior	wh2_main_skill_node_arb_champion_path_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_fire_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_fire_uniques_03	1
arb_vizier_scholar	wh_skill_node_arb_vizier_fire_uniques_01	1
arb_vizier_scholar	wh_skill_node_arb_vizier_fire_uniques_03	1
arb_vizier_schemer	wh_skill_node_arb_vizier_fire_uniques_01	1
arb_vizier_schemer	wh_skill_node_arb_vizier_fire_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_life_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_life_uniques_03	1
arb_vizier_scholar	wh_skill_node_arb_vizier_life_uniques_01	1
arb_vizier_scholar	wh_skill_node_arb_vizier_life_uniques_03	1
arb_vizier_schemer	wh_skill_node_arb_vizier_life_uniques_01	1
arb_vizier_schemer	wh_skill_node_arb_vizier_life_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_heavens_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_heavens_uniques_03	1
arb_vizier_scholar	wh_skill_node_arb_vizier_heavens_uniques_01	1
arb_vizier_scholar	wh_skill_node_arb_vizier_heavens_uniques_03	1
arb_vizier_schemer	wh_skill_node_arb_vizier_heavens_uniques_01	1
arb_vizier_schemer	wh_skill_node_arb_vizier_heavens_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_desert_uniques_02	1
arb_vizier_administrator	wh_skill_node_arb_vizier_desert_uniques_03	1
arb_vizier_scholar	wh_skill_node_arb_vizier_desert_uniques_01	1
arb_vizier_scholar	wh_skill_node_arb_vizier_desert_uniques_03	1
arb_vizier_schemer	wh_skill_node_arb_vizier_desert_uniques_01	1
arb_vizier_schemer	wh_skill_node_arb_vizier_desert_uniques_02	1
arb_golden_magus_sultan_seas	wh2_main_skill_node_arb_golden_magus_unique_4	1
arb_golden_magus_aether_tether	wh2_main_skill_node_arb_golden_magus_unique_0	1
wh3_main_skill_cth_caravan_master_smugglers_space	ovn_skill_innate_arb_caravan_master_1	1
wh3_main_skill_cth_caravan_master_wheelwright	ovn_skill_innate_arb_caravan_master_2	1
roy_skill_arb_nomad_doppelgang	wh2_main_skill_node_arb_nomad_unique_01	1
wh2_main_skill_def_spy_poison_3	wh2_main_skill_node_arb_nomad_unique_01	1
roy_skill_arb_nomad_strike_from_the_shadows	wh2_main_skill_node_arb_nomad_unique_02	1
wh2_main_skill_def_spy_poison_3	wh2_main_skill_node_arb_nomad_unique_02	1
roy_skill_arb_nomad_doppelgang	wh2_main_skill_node_arb_nomad_unique_03	1
roy_skill_arb_nomad_strike_from_the_shadows	wh2_main_skill_node_arb_nomad_unique_03	1
arb_sheikh_administrator	wh_main_skill_node_ovn_araby_ll_uniques_02	1
arb_sheikh_administrator	wh_main_skill_node_ovn_araby_ll_uniques_03	1
arb_sheikh_city	wh_main_skill_node_ovn_araby_ll_uniques_01	1
arb_sheikh_city	wh_main_skill_node_ovn_araby_ll_uniques_03	1
arb_sheikh_nomad	wh_main_skill_node_ovn_araby_ll_uniques_01	1
arb_sheikh_nomad	wh_main_skill_node_ovn_araby_ll_uniques_02	1
