chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/ovn_araby_only			
ovn_arb_allied_outpost	wh3_main_foreign_slot_allied		false
ovn_arb_defence_norsca	wh3_main_secondary_addon_garrison_outpost		false
wh3_main_foreign_slot_discovery_arb	wh3_main_secondary_core_generic_minor		false
ovn_arb_settlement_major	wh3_main_primary_core_generic_major		false
ovn_arb_settlement_minor	wh3_main_primary_core_generic_minor		false
ovn_arb_port	wh3_main_port_core_generic		false
ovn_arb_settlement_major	wh3_main_primary_core_special_major_norsca		false
ovn_arb_settlement_minor	wh3_main_primary_core_special_minor_norsca		false
ovn_arb_defence_major	wh3_main_secondary_addon_garrison_major		false
ovn_arb_defence_minor	wh3_main_secondary_addon_garrison_minor		false
ovn_arb_defence_major	wh3_main_secondary_core_generic_major_defence		false
ovn_arb_defence_major	wh3_main_secondary_core_generic_major_variant_ksl_city		false
ovn_arb_defence_major_scythans	wh3_main_secondary_addon_garrison_major		false
ovn_arb_defence_minor_scythans	wh3_main_secondary_addon_garrison_minor		false
ovn_arb_defence_major_scythans	wh3_main_secondary_core_generic_major_defence		false
ovn_arb_defence_major_scythans	wh3_main_secondary_core_generic_major_variant_ksl_city		false
ovn_arb_city_barracks	wh3_main_secondary_core_generic_minor		false
ovn_arb_artillery	wh3_main_secondary_core_generic_minor		false
ovn_arb_growth	wh3_main_secondary_core_generic_minor		false
ovn_arb_order	wh3_main_secondary_core_generic_minor		false
ovn_arb_healing	wh3_main_secondary_core_generic_minor		false
ovn_arb_income	wh3_main_secondary_core_generic_minor		false
ovn_arb_slaves	wh3_main_secondary_core_generic_minor		false
ovn_arb_nomad_infantry	wh3_main_secondary_core_generic_minor		false
ovn_arb_nomad_cavalry	wh3_main_secondary_core_generic_minor		false
ovn_arb_djinn	wh3_main_secondary_core_generic_minor		false
ovn_arb_elephants	wh3_main_secondary_core_generic_minor		false
ovn_arb_flaming_scimitar_main	ovn_araby_flaming_scimitar_boat_primary		false
ovn_arb_flaming_scimitar_barracks	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_arb_flaming_scimitar_nomad_infantry	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_arb_flaming_scimitar_support_monsters	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_arb_flaming_scimitar_support_mages	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_arb_flaming_scimitar_structure_movement	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_arb_flaming_scimitar_structure_upkeep	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_arb_flaming_scimitar_structure_replenishment	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_arb_flaming_scimitar_structure_growth	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_arb_flaming_scimitar_defense_bombardment	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_arb_flaming_scimitar_unique_minaret	ovn_araby_flaming_scimitar_boat_secondary		false
ovn_special_tomb_king_crypt	wh3_main_secondary_core_generic_minor		false
ovn_arb_nehekharan_excavation	ovn_secondary_addon_nehekharan_excavation		false
ovn_arb_special_settlement_al_haikk	ovn_primary_core_special_major_al_haikk		false
ovn_arb_growth_scythans	wh3_main_secondary_core_generic_minor		false
ovn_arb_income_scythans	wh3_main_secondary_core_generic_minor		false
ovn_arb_order_scythans	wh3_main_secondary_core_generic_minor		false
