chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/ovn_araby_special			
ovn_special_tomb_of_the_death_scarab	ovn_secondary_addon_landmark_tomb_of_the_death_scarab		false
ovn_special_palace_of_the_great_sultan	ovn_secondary_addon_landmark_palace_of_the_great_sultan		false
ovn_special_gardens_of_bel-aliad	ovn_secondary_addon_landmark_gardens_of_bel-aliad		false
ovn_special_tomb_of_mullah_akland	ovn_secondary_addon_landmark_tomb_of_mullah_akland		false
ovn_special_ivory_palace_of_ka-sabar	ovn_secondary_addon_landmark_ivory_palace_of_ka-sabar		false
ovn_special_madrasat_el-sehr	ovn_secondary_addon_landmark_madrasat_el-sehr		false
ovn_special_fortress_of_nafel_muq	ovn_secondary_addon_landmark_fortress_of_nafel_muq		false
ovn_special_the_black-gold_tower	ovn_secondary_addon_landmark_the_black-gold_tower		false
ovn_special_crypt_of_abdul_ben_rachid	ovn_secondary_addon_landmark_crypt_of_abdul_ben_rachid		false
ovn_special_portal_of_twilight	ovn_secondary_addon_landmark_portal_of_twilight		false
ovn_special_golden_magus_paradise	ovn_secondary_addon_landmark_golden_magus_paradise		false
ovn_special_galleons_graveyard_wreck	ovn_secondary_addon_landmark_galleons_graveyard_wreck		false
ovn_special_copher_port_araby	ovn_secondary_addon_landmark_copher_port_araby		false
ovn_special_college_of_sorcerers	ovn_secondary_addon_landmark_college_of_sorcerers		false
ovn_special_great_slave_market	ovn_secondary_addon_landmark_great_slave_market		false
ovn_special_atalan_mountain_peaks	ovn_secondary_addon_landmark_atalan_mountain_peaks		false
ovn_special_galleons_graveyard_magus_djinn	ovn_secondary_addon_landmark_galleons_graveyard_magus		false
ovn_special_galleons_graveyard_magus_tzeentch	ovn_secondary_addon_landmark_galleons_graveyard_magus		false
ovn_arb_settlement_major	wh3_main_primary_core_special_major_sartosa		true
ovn_arb_settlement_major	wh3_main_primary_core_special_major_miragliano		true
ovn_arb_settlement_major	wh3_main_primary_core_special_major_couronne		true
ovn_arb_settlement_major	wh3_main_primary_core_special_major_castle_drakenhof		true
ovn_arb_settlement_major	wh3_main_primary_core_special_major_altdorf		true
