building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/ovn_araby_only	
ovn_arb_settlement_major	ovn_bas_araby
ovn_arb_settlement_minor	ovn_bas_araby
ovn_arb_port	ovn_bas_araby
ovn_arb_defence_norsca	ovn_bas_araby
wh3_main_foreign_slot_discovery_arb	ovn_bas_araby
ovn_arb_allied_outpost	ovn_bas_araby
ovn_arb_city_barracks	ovn_bas_araby
ovn_arb_artillery	ovn_bas_araby
ovn_arb_growth	ovn_bas_araby
ovn_arb_order	ovn_bas_araby
ovn_arb_defence_minor	ovn_bas_araby
ovn_arb_healing	ovn_bas_araby
ovn_arb_income	ovn_bas_araby
ovn_arb_slaves	ovn_bas_araby
ovn_arb_nomad_infantry	ovn_bas_araby
ovn_arb_nomad_cavalry	ovn_bas_araby
ovn_arb_djinn	ovn_bas_araby
ovn_arb_defence_major	ovn_bas_araby
ovn_arb_elephants	ovn_bas_araby
ovn_arb_flaming_scimitar_main	ovn_bas_araby
ovn_arb_flaming_scimitar_barracks	ovn_bas_araby
ovn_arb_flaming_scimitar_nomad_infantry	ovn_bas_araby
ovn_arb_flaming_scimitar_support_monsters	ovn_bas_araby
ovn_arb_flaming_scimitar_support_mages	ovn_bas_araby
ovn_arb_flaming_scimitar_structure_movement	ovn_bas_araby
ovn_arb_flaming_scimitar_structure_upkeep	ovn_bas_araby
ovn_arb_flaming_scimitar_structure_replenishment	ovn_bas_araby
ovn_arb_flaming_scimitar_structure_growth	ovn_bas_araby
ovn_arb_flaming_scimitar_defense_bombardment	ovn_bas_araby
ovn_arb_flaming_scimitar_unique_minaret	ovn_bas_araby
ovn_arb_special_settlement_al_haikk	ovn_bas_araby
ovn_arb_nehekharan_excavation	ovn_bas_araby
ovn_special_tomb_of_the_death_scarab	ovn_bas_araby
ovn_special_palace_of_the_great_sultan	ovn_bas_araby
ovn_special_gardens_of_bel-aliad	ovn_bas_araby
ovn_special_tomb_of_mullah_akland	ovn_bas_araby
ovn_special_ivory_palace_of_ka-sabar	ovn_bas_araby
ovn_special_madrasat_el-sehr	ovn_bas_araby
ovn_special_fortress_of_nafel_muq	ovn_bas_araby
ovn_special_the_black-gold_tower	ovn_bas_araby
ovn_special_crypt_of_abdul_ben_rachid	ovn_bas_araby
ovn_special_portal_of_twilight	ovn_bas_araby
ovn_special_golden_magus_paradise	ovn_bas_araby
ovn_special_galleons_graveyard_wreck	ovn_bas_araby
ovn_special_tomb_king_crypt	ovn_bas_araby
ovn_special_copher_port_araby	ovn_bas_araby
ovn_special_college_of_sorcerers	ovn_bas_araby
ovn_special_great_slave_market	ovn_bas_araby
ovn_special_atalan_mountain_peaks	ovn_bas_araby
ovn_arb_defence_major_scythans	ovn_bas_araby
ovn_arb_defence_minor_scythans	ovn_bas_araby
ovn_special_galleons_graveyard_magus_djinn	ovn_bas_araby
ovn_special_galleons_graveyard_magus_tzeentch	ovn_bas_araby
ovn_arb_growth_scythans	ovn_bas_araby
ovn_arb_income_scythans	ovn_bas_araby
ovn_arb_order_scythans	ovn_bas_araby
