deactivate_flag	special_ability
#special_ability_to_auto_deactivate_flags_tables;0;db/special_ability_to_auto_deactivate_flags_tables/ovn_araby_only	
unit_is_not_charging	blood_howl
engaged_in_melee	arb_fatandira_desert_feint
health_below_75%	ovn_arb_unit_passive_djinn_strong_binding
morale_is_higher_than_shattered	ovn_arb_unit_passive_djinn_instability_ii
morale_is_higher_than_broken	ovn_arb_unit_passive_djinn_instability
out_of_melee	ovn_arb_dervish_dance
other_abilities_just_activated_after_wind_up	ovn_lore_passive_blessing_of_the_elements
friendly_battle_leader_killed_or_routed	ovn_arb_loyal_guards
losing_melee_combat	arb_guard_ror_jaffar_elite
health_above_50%	ovn_arb_pitfighters_enrage
unit_is_not_charging	ovn_arb_passive_impetuous_charge
out_of_melee	ovn_arb_rope
out_of_melee	ovn_unit_passive_carrion_hunger
morale_is_broken_or_lower	ovn_unit_passive_carrion_hunger
unit_tier1_kills	ovn_unit_passive_carrion_hunger
health_below_25%	ovn_unit_passive_incarnate_curse_of_the_djinn
health_below_25%	ovn_unit_passive_incarnate_regrowth
health_below_25%	ovn_unit_passive_incarnate_curse_of_the_midnight_wind
health_below_25%	ovn_unit_passive_incarnate_quicksand
health_below_25%	ovn_unit_passive_incarnate_cascading_fire_cloak
health_below_25%	ovn_unit_passive_incarnate_curse_of_hashut
health_below_25%	ovn_unit_passive_incarnate_death_frost
health_below_25%	ovn_unit_passive_incarnate_swiftwing
health_below_25%	ovn_unit_passive_incarnate_blessing_of_the_djinn
out_of_melee	ovn_arb_baz_wep_10_vengeful_sword_heal
engaged_in_melee	ovn_arb_baz_wep_10_vengeful_sword_damage_self
out_of_melee	ovn_djinn_carriage_djinn_blessing
health_above_20%	ovn_arb_baz_wep_08_matyr_shard_ability
manning_equipment	smokeleaf_smokescreen
engaged_in_melee	ovn_arb_passive_camel
other_abilities_just_activated_after_wind_up	ovn_passive_jaffar_djinn_casting_drain
health_below_50%	ovn_golden_scimitar_ability
morale_is_broken_or_lower	ovn_golden_scimitar_ability
other_abilities_just_activated_after_wind_up	arb_golden_magus_wrath_djinn_passive
