agent_subtype	campaign_type
#campaign_to_agent_subtypes_tables;0;db/campaign_to_agent_subtypes_tables/ovn_grudgebringers	
morgan_bernhardt	wh3_main_combi
matthias	wh3_main_combi
allor	wh3_main_combi
ceridan	wh3_main_combi
dwarf_envoy	wh3_main_combi
ice_mage_vladimir_stormbringer	wh3_main_combi
luther_flamenstrike	wh3_main_combi
ilmarin	wh3_main_combi
ludwig_uberdorf_agent_subtype	wh3_main_combi
morgan_bernhardt	cr_combi_expanded
matthias	cr_combi_expanded
allor	cr_combi_expanded
ceridan	cr_combi_expanded
dwarf_envoy	cr_combi_expanded
ice_mage_vladimir_stormbringer	cr_combi_expanded
luther_flamenstrike	cr_combi_expanded
ilmarin	cr_combi_expanded
ludwig_uberdorf_agent_subtype	cr_combi_expanded
morgan_bernhardt	cr_oldworld
matthias	cr_oldworld
allor	cr_oldworld
ceridan	cr_oldworld
dwarf_envoy	cr_oldworld
ice_mage_vladimir_stormbringer	cr_oldworld
luther_flamenstrike	cr_oldworld
ilmarin	cr_oldworld
ludwig_uberdorf_agent_subtype	cr_oldworld
morgan_bernhardt	cr_oldworldclassic
matthias	cr_oldworldclassic
allor	cr_oldworldclassic
ceridan	cr_oldworldclassic
dwarf_envoy	cr_oldworldclassic
ice_mage_vladimir_stormbringer	cr_oldworldclassic
luther_flamenstrike	cr_oldworldclassic
ilmarin	cr_oldworldclassic
ludwig_uberdorf_agent_subtype	cr_oldworldclassic
