set	item	mod_disabled
#character_skill_node_set_items_tables;0;db/character_skill_node_set_items_tables/ovn_fimir		
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_campaign_01	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_campaign_02	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_campaign_03	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_campaign_04	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_campaign_05	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_campaign_06	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_campaign_actions_dummy	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_00_dummy	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_01	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_02	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_03	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_04	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_05	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_06	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_07	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_08	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_09	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_10	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_magic_11	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_unique_01	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_unique_02	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_unique_03	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_unique_04	false
wh_dlc08_nor_cha_fimir_balefiend_beast	bale_beasts_unique_05	false
