key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_ui_override	ai_usage_template_group	audio_vo_actor_override	mom_vortex_key
#unit_special_abilities_tables;74;db/unit_special_abilities_tables/ovn_araby_only																																																																						
arb_golden_magus_mistral	-1.0000	-1.0000	-1	55.0000	false	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	1495079528				0.0000	0.0000	wh_abilities_generic_buff					0.0000					vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	buff_unit	3	false	1.0000		true					
arb_golden_magus_scirocco	-1.0000	-1.0000	-1	55.0000	false	-1	0	true	-1.0000		false	false	false	0.0000	false	false	0.0000	true	1495079529				0.0000	0.0000	wh_abilities_generic_debuff					0.0000					vo_battle_special_ability_generic_response	50.0000	50.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	debuff_unit	3	false	1.0000		true					
ovn_spell_desert_mirage	1.0000	39.0000	7	0.0000	false	0	0	false	0.0000		true	false	true	50.0000	false	false	1.0000	false	1495079530		ovn_arb_inf_arabyan_spearmen_summoned_0	cast_up_short	4.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0000		threatened	wh_group_unit	nehekhara_short	vo_battle_special_ability_spell_cast_negative	100.0000	0.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					
ovn_spell_desert_mirage_upgraded	1.0000	39.0000	7	0.0000	false	0	0	false	0.0000		true	false	true	50.0000	false	false	1.0000	false	1495079531		ovn_arb_inf_arabyan_spearmen_summoned_1	cast_up_short	5.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.5000	wh_main_generic_miscast	threatened	wh_group_unit	nehekhara_short	vo_battle_special_ability_spell_cast_negative	100.0000	0.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	1.0000		true					
ovn_spell_desert_sunstrike	-1.0000	43.0000	-1	0.0000	false	0	0	false	0.0000	ovn_spell_desert_sunstrike	false	true	false	200.0000	false	false	3.0000	false	1495079532			cast_forward_medium	7.0000	0.0000	wh_spell_generic_missile	wh_spell_generic_missile				0.0000		projectile_explosive_ap	wh_main_spell_light_shems_burning_gaze	nehekhara_medium	vo_battle_special_ability_spell_cast_negative	0.0000	150.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_unit	1	false	1.0000		true					
ovn_spell_desert_sunstrike_upgraded	-1.0000	43.0000	-1	0.0000	false	0	0	false	0.0000	ovn_spell_desert_sunstrike_upgraded	false	true	false	200.0000	false	false	3.0000	false	1495079533			cast_forward_medium	11.0000	0.0000	wh_spell_generic_missile	wh_spell_generic_missile				0.5000	wh_main_generic_miscast	projectile_explosive_ap	wh_main_spell_light_shems_burning_gaze_upgraded	nehekhara_medium	vo_battle_special_ability_spell_cast_negative	0.0000	150.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_unit	1	false	1.0000		true					
ovn_spell_desert_sandstorm	14.0000	49.0000	-1	0.0000	false	0	0	false	0.0000		false	true	true	150.0000	false	false	5.0000	false	1495079534			cast_up_long	11.0000	0.0000	wh_abilities_generic_vortex	wh_abilities_generic_vortex			ovn_spell_desert_sandstorm	0.0000		vortex	wh_group_unit_click	nehekhara_long	vo_battle_special_ability_spell_cast_negative	0.0000	200.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true					
ovn_spell_desert_sandstorm_upgraded	27.0000	49.0000	-1	0.0000	false	0	0	false	0.0000		false	true	true	150.0000	false	false	5.0000	false	1495079535			cast_up_long	17.0000	0.0000	wh_abilities_generic_vortex	wh_abilities_generic_vortex			ovn_spell_desert_sandstorm_upgraded	0.5000	wh_main_generic_miscast	vortex	wh_group_unit_click	nehekhara_long	vo_battle_special_ability_spell_cast_negative	0.0000	200.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	damage_aoe	3	false	1.0000		true					
ovn_spell_desert_quicksand	20.0000	38.0000	-1	30.0000	false	0	-1	true	0.0000		false	false	true	200.0000	false	false	5.0000	false	1495079536			cast_up_long	10.0000	0.0000	wh_abilities_generic_debuff	wh_abilities_generic_debuff	wh2_dlc14_abilities_seismic_snare			0.0000		hex_speed_area	wh3_main_ability_modular	nehekhara_long	vo_battle_special_ability_spell_cast_negative	150.0000	0.0000				false	true	true	false				false	true	false	false	false			false	false	true	-1.0000	false	debuff_unit	3	false	1.0000		true					
