bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/obo_grudgebringers_data		
upkeep_mod	grudge_effect_upkeep_for_grudge	grudgebringers
unit_damage_resistance_all_mod	ovn_grudgebringer_ward	ovn_core_grudgebringers
cost_mod	ovn_recruitment_cost_reduction_gru_empire	ovn_gru_empire_unit
cost_mod	ovn_recruitment_cost_reduction_gru_dwarf	ovn_gru_dwarfs_unit
cost_mod	ovn_recruitment_cost_reduction_gru_ogre	ovn_gru_ogre_unit
upkeep_mod	ovn_recruitment_cost_upkeep_gru_empire	ovn_gru_empire_unit
upkeep_mod	ovn_recruitment_cost_upkeep_gru_dwarf	ovn_gru_dwarfs_unit
upkeep_mod	ovn_recruitment_cost_upkeep_gru_ogre	ovn_gru_ogre_unit
upkeep_mod	rhox_grudge_upkeep_reduction_all_dwf	dwf_all_units_characters
morale	rhox_grudge_leadership_dwf_all	dwf_all_units_characters
mod_land_movement_battle	rhox_grudge_effect_force_stat_speed_ksl	wh3_main_ksl_all
melee_defence_mod	rhox_grudge_effect_force_stat_melee_defence_ksl	wh3_main_ksl_all
upkeep_mod	omen_upkeep_flagellants	emp_flagellants
upkeep_mod	rhox_grudge_upkeep_reduction_all_dwf	ovn_gru_dwarfs_unit
morale	rhox_grudge_leadership_dwf_all	ovn_gru_dwarfs_unit
