id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/ovn_fimir_buildings			
92112190	500	fim_inf_shearl	ovn_fimir_allied_1
92112191	450	fim_inf_shearl	ovn_fimir_allied_1
92112192	500	fim_inf_shearl_javelineer	ovn_fimir_allied_1
92112193	450	fim_inf_shearl	ovn_fimir_allied_2
92112194	450	fim_inf_shearl_javelineer	ovn_fimir_allied_2
92112195	500	fim_inf_fimm_warriors	ovn_fimir_allied_2
92112196	700	fim_inf_shearl_javelineer	ovn_fimir_allied_3
92112197	700	fim_inf_fimm_warriors	ovn_fimir_allied_3
92112198	750	fim_inf_fimm_warriors	ovn_fimir_allied_3
92112199	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_major_1
92112200	450	fim_inf_swamp_daemons	ovn_fimir_settlement_major_1
92112201	450	fim_inf_shearl	ovn_fimir_settlement_major_1
92112202	300	wh3_main_dae_inf_chaos_furies_0	ovn_fimir_settlement_major_1
92112203	300	fim_inf_boglar	ovn_fimir_settlement_major_1
92112204	300	fim_inf_boglar	ovn_fimir_settlement_major_1
92112205	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_major_1
92112206	450	fim_inf_shearl	ovn_fimir_settlement_major_1
92112207	450	fim_inf_shearl	ovn_fimir_settlement_major_1
92112208	300	fim_inf_boglar	ovn_fimir_settlement_major_1
92112209	300	fim_inf_moor_hounds	ovn_fimir_settlement_major_1
92112210	300	wh3_main_dae_inf_chaos_furies_0	ovn_fimir_settlement_major_2
92112211	450	fim_inf_shearl	ovn_fimir_settlement_major_2
92112212	800	fim_mon_mistmor	ovn_fimir_settlement_major_2
92112213	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_major_2
92112214	450	fim_inf_swamp_daemons	ovn_fimir_settlement_major_2
92112215	450	fim_inf_shearl	ovn_fimir_settlement_major_2
92112216	500	fim_inf_fimm_warriors_great_weapons	ovn_fimir_settlement_major_2
92112217	450	fim_inf_shearl	ovn_fimir_settlement_major_2
92112218	450	fim_inf_shearl	ovn_fimir_settlement_major_2
92112219	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_major_2
92112220	300	fim_inf_moor_hounds	ovn_fimir_settlement_major_2
92112221	450	wh3_main_dae_inf_chaos_furies_0	ovn_fimir_settlement_major_3
92112222	450	fim_inf_swamp_daemons	ovn_fimir_settlement_major_3
92112223	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_major_3
92112224	500	fim_inf_fimm_warriors_great_weapons	ovn_fimir_settlement_major_3
92112225	450	fim_inf_shearl	ovn_fimir_settlement_major_3
92112226	800	fim_inf_fimm_warriors	ovn_fimir_settlement_major_3
92112227	800	fim_inf_fimm_warriors	ovn_fimir_settlement_major_3
92112228	500	fim_inf_fimm_warriors_great_weapons	ovn_fimir_settlement_major_3
92112229	450	fim_inf_moor_hounds	ovn_fimir_settlement_major_3
92112230	800	fim_mon_mistmor	ovn_fimir_settlement_major_3
92112231	450	fim_inf_shearl	ovn_fimir_settlement_major_3
92112232	500	fim_inf_fimm_warriors_great_weapons	ovn_fimir_settlement_major_4
92112233	800	fim_inf_fimm_warriors	ovn_fimir_settlement_major_4
92112234	1150	fim_mon_fianna_fimm	ovn_fimir_settlement_major_4
92112235	450	wh3_main_dae_inf_chaos_furies_0	ovn_fimir_settlement_major_4
92112236	800	fim_mon_mistmor	ovn_fimir_settlement_major_4
92112237	450	fim_inf_swamp_daemons	ovn_fimir_settlement_major_4
92112238	800	fim_inf_fimm_warriors	ovn_fimir_settlement_major_4
92112239	500	fim_inf_fimm_warriors_great_weapons	ovn_fimir_settlement_major_4
92112240	450	fim_cav_nuckelavee	ovn_fimir_settlement_major_4
92112241	475	fim_inf_shearl_javelineer	ovn_fimir_settlement_major_4
92112242	450	fim_inf_fimm_warriors	ovn_fimir_settlement_major_4
92112243	450	wh3_main_dae_inf_chaos_furies_0	ovn_fimir_settlement_major_5
92112244	800	fim_mon_fianna_fimm	ovn_fimir_settlement_major_5
92112245	450	fim_inf_fimm_warriors_great_weapons	ovn_fimir_settlement_major_5
92112246	500	fim_inf_fimm_warriors	ovn_fimir_settlement_major_5
92112247	500	fim_inf_fimm_warriors_great_weapons	ovn_fimir_settlement_major_5
92112248	450	fim_inf_swamp_daemons	ovn_fimir_settlement_major_5
92112249	1150	fim_mon_fianna_fimm	ovn_fimir_settlement_major_5
92112250	450	fim_cav_nuckelavee	ovn_fimir_settlement_major_5
92112251	800	fim_inf_fimm_warriors	ovn_fimir_settlement_major_5
92112252	1150	fim_mon_fianna_fimm_great_weapons	ovn_fimir_settlement_major_5
92112253	800	fim_mon_mistmor	ovn_fimir_settlement_major_5
92112254	475	fim_inf_shearl_javelineer	ovn_fimir_settlement_major_5
92112255	300	fim_inf_swamp_daemons	ovn_fimir_settlement_minor_1
92112256	300	wh3_main_dae_inf_chaos_furies_0	ovn_fimir_settlement_minor_1
92112257	300	fim_inf_moor_hounds	ovn_fimir_settlement_minor_1
92112258	300	fim_inf_boglar	ovn_fimir_settlement_minor_1
92112259	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_minor_1
92112260	450	fim_inf_shearl	ovn_fimir_settlement_minor_1
92112261	300	fim_inf_boglar	ovn_fimir_settlement_minor_1
92112262	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_minor_1
92112263	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_minor_2
92112264	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_minor_2
92112265	450	fim_inf_shearl	ovn_fimir_settlement_minor_2
92112266	300	fim_inf_swamp_daemons	ovn_fimir_settlement_minor_2
92112267	300	wh3_main_dae_inf_chaos_furies_0	ovn_fimir_settlement_minor_2
92112268	300	fim_inf_moor_hounds	ovn_fimir_settlement_minor_2
92112269	300	fim_inf_boglar	ovn_fimir_settlement_minor_2
92112270	450	fim_inf_shearl	ovn_fimir_settlement_minor_2
92112271	300	fim_inf_shearl	ovn_fimir_settlement_minor_2
92112272	300	wh3_main_dae_inf_chaos_furies_0	ovn_fimir_settlement_minor_3
92112273	300	fim_inf_moor_hounds	ovn_fimir_settlement_minor_3
92112274	375	fim_inf_shearl_javelineer	ovn_fimir_settlement_minor_3
92112275	500	fim_inf_fimm_warriors_great_weapons	ovn_fimir_settlement_minor_3
92112276	650	fim_inf_swamp_daemons	ovn_fimir_settlement_minor_3
92112277	450	fim_inf_shearl_javelineer	ovn_fimir_settlement_minor_3
92112278	450	fim_inf_shearl	ovn_fimir_settlement_minor_3
92112279	450	fim_inf_shearl	ovn_fimir_settlement_minor_3
92112280	450	fim_inf_fimm_warriors	ovn_fimir_settlement_minor_3
92112281	450	fim_inf_shearl	ovn_fimir_defence_major_1
92112282	500	fim_inf_shearl_javelineer	ovn_fimir_defence_major_1
92112283	800	fim_mon_mistmor	ovn_fimir_defence_major_1
92112284	300	fim_inf_boglar	ovn_fimir_defence_major_1
92112285	450	fim_inf_shearl	ovn_fimir_defence_major_1
92112286	800	fim_inf_fimm_warriors	ovn_fimir_defence_major_2
92112287	800	fim_inf_fimm_warriors	ovn_fimir_defence_major_2
92112288	450	fim_inf_shearl	ovn_fimir_defence_major_2
92112289	500	fim_inf_shearl_javelineer	ovn_fimir_defence_major_2
92112290	800	fim_mon_mistmor	ovn_fimir_defence_major_2
92112291	800	fim_inf_fimm_warriors	ovn_fimir_defence_major_3
92112292	800	fim_mon_mistmor	ovn_fimir_defence_major_3
92112293	500	fim_inf_shearl_javelineer	ovn_fimir_defence_major_3
92112294	1150	fim_mon_fianna_fimm	ovn_fimir_defence_major_3
92112295	600	fim_cav_nuckelavee	ovn_fimir_defence_major_3
92112296	800	fim_inf_fimm_warriors	ovn_fimir_defence_major_3
92112297	500	fim_inf_fimm_warriors_great_weapons	ovn_fimir_defence_minor_1
92112298	500	fim_inf_shearl_javelineer	ovn_fimir_defence_minor_1
92112299	450	fim_inf_shearl	ovn_fimir_defence_minor_1
92112300	300	fim_inf_boglar	ovn_fimir_defence_minor_1
92112301	450	fim_inf_shearl	ovn_fimir_defence_minor_1
92112302	800	fim_mon_mistmor	ovn_fimir_defence_minor_2
92112303	500	fim_inf_fimm_warriors_great_weapons	ovn_fimir_defence_minor_2
92112304	450	fim_inf_shearl	ovn_fimir_defence_minor_2
92112305	500	fim_inf_shearl_javelineer	ovn_fimir_defence_minor_2
