key	primary_melee_weapon	primary_missile_weapon
#battle_entity_stats_tables;2;db/battle_entity_stats_tables/ovn_araby_only		
ovn_arb_elephant_cannon		ovn_arb_elephant_cannon
ovn_arb_cha_magician_life	wh_main_emp_sword_caster	
ovn_arb_cha_magician_desert	wh_main_emp_sword_caster	
ovn_arb_cha_magician_fire	wh_main_emp_sword_caster	
ovn_arb_cha_magician_heavens	wh_main_emp_sword_caster	
arb_fatandira_stats		arb_fatandira_bow
ovn_arb_flying_carpet_rider		arb_carpet_bow
ovn_arb_flying_carpet_ror_rider		arb_napthta_bomb
ovn_arb_cha_magician_rider	wh_main_emp_sword_caster	
arb_desert_dogs_officer	wh_main_emp_sword_hero	
arb_rifle_riders		ovn_arb_inf_jezzails_riders
ovn_skiff_bomb		ovn_skiff_bomb
ship_book	wh3_main_dae_furies_claws	
arb_rifle_riders_skiff		ovn_arb_inf_jezzails_riders_skiff
