ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/ovn_araby_only			
ovn_araby_sword	wh_main_effect_character_stat_melee_attack	character_to_character_own	7.0000
ovn_araby_sword	wh_main_effect_character_stat_weapon_strength	character_to_character_own	5.0000
ovn_araby_sword	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
ovn_araby_helm	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
ovn_araby_helm	wh_main_effect_character_stat_physical_resistance	character_to_character_own	10.0000
ovn_araby_talisman	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0000
ovn_araby_talisman	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0000
ovn_araby_rattlesnake_staff	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
ovn_araby_rattlesnake_staff	wh_main_effect_character_stat_miscast	character_to_character_own	-10.0000
ovn_araby_rattlesnake_staff	wh3_main_effect_winds_of_magic_pool_cap	character_to_force_own_unseen	10.0000
ovn_araby_rattlesnake_staff	wh_main_effect_character_mod_ancillary_drop	character_to_force_own_unseen	10.0000
ovn_araby_rattlesnake_staff	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0000
Black_Book_Of_Ibn_Naggazar	wh2_main_effect_ability_cooldown_spells	character_to_character_own	-20.0000
Black_Book_Of_Ibn_Naggazar	wh3_main_effect_wom_costs_overcast_percentage	character_to_character_own	-10.0000
Black_Book_Of_Ibn_Naggazar	wh3_main_effect_winds_of_magic_pool_cap	character_to_force_own_unseen	15.0000
Black_Book_Of_Ibn_Naggazar	wh_main_effect_character_stat_miscast	character_to_character_own	-20.0000
Black_Book_Of_Ibn_Naggazar	wh_main_effect_force_all_campaign_upkeep	general_to_force_own	-5.0000
ovn_araby_Serpent_Staff	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
ovn_araby_Serpent_Staff	arb_jaffar_serpent_djinn_enable	character_to_character_own	1.0000
ovn_araby_Serpent_Staff	wh_main_effect_character_stat_ap_damage	character_to_character_own	40.0000
ovn_araby_Serpent_Staff	wh_main_effect_character_stat_melee_attack	character_to_character_own	5.0000
ovn_araby_Serpent_Staff	wh_main_effect_character_mod_ancillary_drop	character_to_force_own_unseen	10.0000
arb_fatandira_blades_demise	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1.0000
arb_fatandira_blades_demise	arb_fatandira_enable_blades_demise	character_to_character_own	1.0000
arb_fatandira_blades_demise	wh_main_effect_character_stat_melee_attack	character_to_character_own	5.0000
arb_fatandira_blades_demise	wh_main_effect_character_stat_ap_damage	character_to_character_own	20.0000
arb_fatandira_blades_demise	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
arb_fatandira_blades_demise	wh_main_effect_character_stat_missile_damage	character_to_character_own	10.0000
arb_fatandira_scythan_armour	wh_main_effect_character_stat_armour	character_to_character_own	15.0000
arb_fatandira_scythan_armour	wh_main_effect_character_stat_melee_defence	character_to_character_own	6.0000
arb_fatandira_scythan_armour	wh_main_effect_character_stat_reload_time_reduction	character_to_character_own	15.0000
arb_fatandira_scythan_armour	wh_main_effect_character_stat_ward_save	character_to_character_own	15.0000
arb_fatandira_scythan_armour	wh3_main_effect_corruption_reduction_characters	character_to_province_any	-5.0000
arb_golden_magus_fire_scimitar	arb_golden_magus_enable_burning_scimitar	character_to_character_own	1.0000
arb_golden_magus_fire_scimitar	wh3_dlc20_effect_enables_warpflame_attacks	character_to_character_own	1.0000
arb_golden_magus_fire_scimitar	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
arb_golden_magus_fire_scimitar	wh_main_effect_character_stat_melee_attack	character_to_character_own	6.0000
arb_golden_magus_fire_scimitar	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
arb_golden_magus_fire_scimitar	wh_main_effect_force_all_campaign_post_battle_loot_mod	character_to_character_own	10.0000
arb_golden_magus_fire_scimitar	wh_main_effect_force_all_campaign_sacking_income	character_to_character_own	20.0000
arb_golden_magus_auric_robe	wh_main_effect_character_stat_magic_resistance	character_to_character_own	10.0000
arb_golden_magus_auric_robe	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
arb_golden_magus_auric_robe	wh3_main_effect_winds_of_magic_pool_cap	character_to_force_own_unseen	10.0000
arb_golden_magus_auric_robe	wh2_main_effect_force_stat_melee_attack_vs_undead	character_to_character_own	10.0000
arb_golden_magus_auric_robe	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0000
arb_golden_magus_auric_robe	wh_main_effect_character_wound_recovery_time_mod	character_to_character_own	-3.0000
roy_anc_mount_arb_lord_pegasus	enable_radiant_pegasus_ability	character_to_character_own	1.0000
roy_anc_mount_arb_champion_pegasus	enable_radiant_pegasus_ability	character_to_character_own	1.0000
roy_anc_mount_arb_champion_pegasus_wazar	enable_radiant_pegasus_ability	character_to_character_own	1.0000
arb_sheikh_mehmed_mount_pegasus	enable_radiant_pegasus_ability	character_to_character_own	1.0000
