building_level	campaign_bmd_layer_group
#building_levels_campaign_bmd_layer_group_junctions_tables;0;db/building_levels_campaign_bmd_layer_group_junctions_tables/ovn_araby_only	
ovn_arb_port_ruin	razed_settlement_generic
ovn_arb_settlement_major_2	settlement_level_1
ovn_arb_settlement_major_3	settlement_level_2
ovn_arb_settlement_major_4	settlement_level_3
ovn_arb_settlement_major_5	settlement_level_4
ovn_arb_settlement_major_ruin	razed_settlement_generic
ovn_arb_settlement_minor_2	settlement_level_1
ovn_arb_settlement_minor_3	settlement_level_2
ovn_arb_settlement_minor_ruin	razed_settlement_generic
ovn_arb_defence_major_1	settlement_towers_level_1
ovn_arb_defence_major_2	settlement_towers_level_2
ovn_arb_defence_major_3	settlement_towers_level_3
ovn_arb_special_settlement_al_haikk_2	settlement_level_1
ovn_arb_special_settlement_al_haikk_3	settlement_level_2
ovn_arb_special_settlement_al_haikk_4	settlement_level_3
ovn_arb_special_settlement_al_haikk_5	settlement_level_4
ovn_arb_defence_major_1_scythans	settlement_towers_level_1
ovn_arb_defence_major_2_scythans	settlement_towers_level_2
ovn_arb_defence_major_3_scythans	settlement_towers_level_3
