from	network	to	regions
#campaign_map_route_segments_tables;0;db/campaign_map_route_segments_tables/ovn_araby_only_iee			
ovn_arb_jellabas_way_al_haik	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_lashiek	ovn_arb_jellabas_way_al_haik-lashiek
ovn_arb_jellabas_way_lashiek	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_wizard_caliph	ovn_arb_jellabas_way_lashiek-wizard_caliph
ovn_arb_jellabas_way_al_haik	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_el_kalabad	ovn_arb_jellabas_way_al_haik-el_kalabad
ovn_arb_jellabas_way_el_kalabad	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_springs_of_eternal_life	ovn_arb_jellabas_way_black_pyramid_of_nagash-springs_of_eternal_life
ovn_arb_jellabas_way_springs_of_eternal_life	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_khemri	ovn_arb_jellabas_way_springs_of_eternal_life-khemri
ovn_arb_jellabas_way_springs_of_eternal_life	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_karag_orrud	ovn_arb_jellabas_way_quatar-karag_orrud
ovn_arb_jellabas_way_karag_orrud	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_mahrak	ovn_arb_jellabas_way_karag_orrud-granite_massif
ovn_arb_jellabas_way_springs_of_eternal_life	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_numas	ovn_arb_jellabas_way_quatar-numas
ovn_arb_jellabas_way_el_kalabad	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_sudenburg	ovn_arb_jellabas_way_el_kalabad-sudenburg
ovn_arb_jellabas_way_el_kalabad	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_ka_sabar	ovn_arb_jellabas_way_sudenburg-bhagar
ovn_arb_jellabas_way_ka_sabar	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_karak_zorn	ovn_arb_jellabas_way_ka_sabar-karak_zorn
ovn_arb_jellabas_way_ka_sabar	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_lost_plateau	ovn_arb_jellabas_way_karak_zorn-lost_plateau
ovn_arb_jellabas_way_lost_plateau	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_mount_arachnos	ovn_arb_jellabas_way_lost_plateau-mount_arachnos
ovn_arb_jellabas_way_mount_arachnos	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_mahrak	ovn_arb_jellabas_way_mount_arachnos-granite_massif
ovn_arb_jellabas_way_el_kalabad	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_plain_of_tuskers	ovn_arb_jellabas_way_sudenburg-plain_of_tuskers
ovn_arb_jellabas_way_plain_of_tuskers	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_antoch	ovn_arb_jellabas_way_plain_of_tuskers-antoch
ovn_arb_jellabas_way_antoch	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_oreons_camp	ovn_arb_jellabas_way_antoch-oreons_camp
ovn_arb_jellabas_way_plain_of_tuskers	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_tlaqua_leaf	ovn_arb_jellabas_way_plain_of_tuskers-tlaqua
ovn_arb_jellabas_way_plain_of_tuskers	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_sun_tree_glades	ovn_arb_jellabas_way_tlaqua-sun_tree_glades
ovn_arb_jellabas_way_sun_tree_glades	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_nahuontl	ovn_arb_jellabas_way_sun_tree_glades-nahuontl
ovn_arb_jellabas_way_nahuontl	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_zlatlan	ovn_arb_jellabas_way_nahuontl-zlatlan
ovn_arb_jellabas_way_zlatlan	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_yuatek	ovn_arb_jellabas_way_zlatlan-yuatek
ovn_arb_jellabas_way_yuatek	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_dawns_light	ovn_arb_jellabas_way_yuatek-dawns_light
ovn_arb_jellabas_way_dawns_light	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_fortress_of_dawn	ovn_arb_jellabas_way_dawns_light-fortress_of_dawn
ovn_arb_jellabas_way_zlatlan	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_zlatlan_leaf	ovn_arb_jellabas_way_zlatlan-zlatlan_leaf
ovn_arb_jellabas_way_al_haik	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_pirate_coast	ovn_arb_jellabas_way_al_haik-pirate_coast
ovn_arb_jellabas_way_pirate_coast	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_sartosa	ovn_arb_jellabas_way_pirate_coast-sartosa
ovn_arb_jellabas_way_pirate_coast	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_tilean_sea	ovn_arb_jellabas_way_pirate_coast-tilean_sea
ovn_arb_jellabas_way_tilean_sea	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_miragliano	ovn_arb_jellabas_way_tilean_sea-miragliano
ovn_arb_jellabas_way_tilean_sea	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_magritta	ovn_arb_jellabas_way_tilean_sea-magritta
ovn_arb_jellabas_way_pirate_coast	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_black_gulf	ovn_arb_jellabas_way_pirate_coast-black_gulf
ovn_arb_jellabas_way_black_gulf	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_myrmidens	ovn_arb_jellabas_way_black_gulf_mymidens
ovn_arb_jellabas_way_black_gulf	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_deeper_black_gulf	ovn_arb_jellabas_way_black_gulf-deeper_black_gulf
ovn_arb_jellabas_way_deeper_black_gulf	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_akendorf	ovn_arb_jellabas_way_deeper_black_gulf-akendorf
ovn_arb_jellabas_way_karag_orrud	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_karag_orrud_leaf	ovn_arb_jellabas_way_karag_orrud
ovn_arb_jellabas_way_mahrak	ovn_arb_jellabas_way_iee	ovn_arb_jellabas_way_lahmia	ovn_arb_jellabas_way_lybaras-lahmia
