from	network	to	regions
#campaign_map_route_segments_tables;0;db/campaign_map_route_segments_tables/ovn_araby_only_ow			
ovn_arb_jellabas_way_cr_oldworld_region_alhaikk	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_wadielassad	ovn_arb_jellabas_way_alhaikk-wadiassad
ovn_arb_jellabas_way_cr_oldworld_region_wadielassad	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_fyrus	ovn_arb_jellabas_way_wadiassad-fyrus
ovn_arb_jellabas_way_cr_oldworld_region_wadielassad	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_wadieltuareg	ovn_arb_jellabas_way_wadiassad-wadituareg
ovn_arb_jellabas_way_cr_oldworld_region_fyrus	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_hashashinslair	ovn_arb_jellabas_way_fyrus-hashasinslair
ovn_arb_jellabas_way_cr_oldworld_region_hashashinslair	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_elkhabbath	ovn_arb_jellabas_way_hashasinslair-elkhabbath
ovn_arb_jellabas_way_cr_oldworld_region_elkhabbath	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_gobialain	ovn_arb_jellabas_way_elkhabbath-gobialain
ovn_arb_jellabas_way_cr_oldworld_region_gobialain	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_djambiya	ovn_arb_jellabas_way_gobialain-djambiya
ovn_arb_jellabas_way_cr_oldworld_region_djambiya	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_wreckdesolation	ovn_arb_jellabas_way_djambiya-wdesolation
ovn_arb_jellabas_way_cr_oldworld_region_wreckdesolation	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_leshert	ovn_arb_jellabas_way_wdesolation-leshert
ovn_arb_jellabas_way_cr_oldworld_region_wreckdesolation	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_gorgazan	ovn_arb_jellabas_way_wdesolation-gorgazan
ovn_arb_jellabas_way_cr_oldworld_region_gorgazan	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_soqotra	ovn_arb_jellabas_way_gorgazan-soqotra
ovn_arb_jellabas_way_cr_oldworld_region_soqotra	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_grontimingrol	ovn_arb_jellabas_way_soqotra-gromtimingol
ovn_arb_jellabas_way_cr_oldworld_region_grontimingrol	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_stoneminetower	ovn_arb_jellabas_way_gromtimingol-stonemine
ovn_arb_jellabas_way_cr_oldworld_region_stoneminetower	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_citadelofmyrmidia	ovn_arb_jellabas_way_stonemine-cmyrmidia
ovn_arb_jellabas_way_cr_oldworld_region_citadelofmyrmidia	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_dokkaraz	ovn_arb_jellabas_way_cmyrmidia-dokkaraz
ovn_arb_jellabas_way_cr_oldworld_region_dokkaraz	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_barak_varr	ovn_arb_jellabas_way_dokkaraz-barakvarr
ovn_arb_jellabas_way_cr_oldworld_region_barak_varr	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_isleofzul	ovn_arb_jellabas_way_barakvarr-islezul
ovn_arb_jellabas_way_cr_oldworld_region_isleofzul	ovn_arb_jellabas_way_ow	ovn_arb_jellabas_way_cr_oldworld_region_akendorf	ovn_arb_jellabas_way_islezul-akendorf
