key	num_instances
#building_instances_tables;0;db/building_instances_tables/ovn_grudgebringers_only	
wh_main_emp_cha_grudge_gunpowder	1
ovn_grudge_settlement_smith	1
wh_main_emp_cha_grudge_storehouse	1
wh_main_emp_cha_grudge_replen	1
wh_main_emp_cha_grudge_main	1
wh_main_emp_cha_grudge_recruit	1
wh_main_emp_cha_grudge_recruit_race_other	1
wh_main_emp_cha_grudge_wizard	1
wh_main_emp_cha_grudge_worship	1
wh_main_emp_cha_grudge_growth	1
wh_main_emp_cha_grudge_paymaster	1
wh_main_emp_cha_grudge_blacksmith	1
wh_main_emp_cha_grudge_income	1
