battle_personality	land_unit	attach	riders_attachment_point
#land_units_to_battle_personalities_junctions_tables;0;db/land_units_to_battle_personalities_junctions_tables/ovn_cod_only			
ovn_cr_hef_lothern_skycutter_bolt_thrower	ovn_cr_hef_veh_lothern_skycutter	autonomous_rider	ap_crewposition_0
ovn_cr_hef_lothern_skycutter_rider1	ovn_cr_hef_veh_lothern_skycutter	autonomous_rider	ap_crewposition_1
ovn_cr_hef_lothern_skycutter_rider2	ovn_cr_hef_veh_lothern_skycutter	autonomous_rider	ap_crewposition_2
ovn_cr_hef_lothern_skycutter_rider3	ovn_cr_hef_veh_lothern_skycutter	autonomous_rider	ap_crewposition_3
ovn_cr_hef_lothern_skycutter_rider6	ovn_cr_hef_veh_lothern_skycutter	autonomous_rider	ap_crewposition_6
ovn_cr_hef_lothern_skycutter_bolt_thrower	ovn_cr_hef_veh_lothern_skycutter_ror	autonomous_rider	ap_crewposition_0
ovn_cr_hef_lothern_skycutter_rider1	ovn_cr_hef_veh_lothern_skycutter_ror	autonomous_rider	ap_crewposition_1
ovn_cr_hef_lothern_skycutter_rider2	ovn_cr_hef_veh_lothern_skycutter_ror	autonomous_rider	ap_crewposition_2
ovn_cr_hef_lothern_skycutter_rider3	ovn_cr_hef_veh_lothern_skycutter_ror	autonomous_rider	ap_crewposition_3
ovn_cr_hef_lothern_skycutter_rider6	ovn_cr_hef_veh_lothern_skycutter_ror	autonomous_rider	ap_crewposition_6
