bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/ovn_cod_only	
anti_large	ovn_hef_inf_spearmen_sapphire
charge_reflector	ovn_hef_inf_spearmen_sapphire
shielded	ovn_hef_cav_ellyrian_reavers_shore
fire_whilst_moving	ovn_hef_cav_ellyrian_reavers_shore
vanguard_deployment	ovn_hef_cav_ellyrian_reavers_shore
very_fast	ovn_hef_cav_ellyrian_reavers_shore
good_range	ovn_hef_inf_archers_fire
weak_anti_armour	ovn_hef_inf_archers_fire
poison	ovn_hef_inf_archers_sea
good_range	ovn_hef_inf_archers_sea
good_range	ovn_hef_inf_archers_wind
anti_large	ovn_hef_inf_spearmen_falcon
charge_reflector	ovn_hef_inf_spearmen_falcon
armour_piercing_ranged	ovn_cr_hef_veh_lothern_skycutter
fire_whilst_moving	ovn_cr_hef_veh_lothern_skycutter
armour_piercing_ranged	ovn_cr_hef_veh_lothern_skycutter_ror
fire_whilst_moving	ovn_cr_hef_veh_lothern_skycutter_ror
magical_aura	ovn_cr_hef_veh_lothern_skycutter_ror
duellist	ovn_stormrider
melee_expert	ovn_stormrider
armoured	ovn_stormrider
armour_piercing	ovn_stormrider
melee_expert	ovn_stormrider_mount
armoured	ovn_stormrider_mount
armour_piercing	ovn_stormrider_mount
very_fast	ovn_stormrider_mount
