group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/ovn_cod_only		
wh3_default_land_melee_cavalry	ovn_hef_cav_ellyrian_reavers_shore	10
wh3_default_land_ranged_infantry	ovn_hef_inf_archers_sea	10
wh3_default_land_ranged_infantry	ovn_hef_inf_archers_fire	10
wh3_default_land_ranged_infantry	ovn_hef_inf_archers_wind	10
wh3_default_land_melee_cavalry	ovn_hef_inf_spearmen_falcon	10
wh3_default_land_melee_cavalry	ovn_hef_inf_spearmen_sapphire	10
wh3_default_land_characters	ovn_stormrider_mount	10
wh3_default_land_characters	ovn_stormrider	10
wh3_default_land_aura	ovn_cr_hef_veh_lothern_skycutter	30
wh3_default_land_aura	ovn_cr_hef_veh_lothern_skycutter_ror	30
wh3_default_land_flying_light_harasser	ovn_cr_hef_veh_lothern_skycutter	30
wh3_default_land_flying_light_harasser	ovn_cr_hef_veh_lothern_skycutter_ror	35
