key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/ovn_albion_only		
enable_frenzy_albion_warriors	wh_dlc08_unit_passive_rage	elo_albion_humans
enable_howling_shields	howling_shields	elo_albion_shielded
enable_opportunist_albion	wh_dlc06_unit_passive_opportunist_murderer	elo_albion_humans
enable_berserk_sword	wh_dlc08_unit_passive_berserk	elo_morrigan_handmaidens_sword
enable_hawkish_hunter	morrigan_hunters_dmg	elo_morrigan_handmaidens_hunters
enable_wh_dlc08_unit_passive_from_the_mist_alb	wh_dlc08_unit_passive_from_the_mist	all_units
elo_druid_circle_banish	wh_dlc04_spell_bound_banishment	elo_druid_circle
disable_war_fury_2	elo_albion_remove_war_fury_2	all_units
enable_zeal_holy_albion	elo_albion_holy_warriors_unbreakable	elo_albion_holy_warriors
elo_albion_protectors_world	elo_albion_protectors_world	all_units
