quote	unit
#loading_screen_quotes_to_units_tables;0;db/loading_screen_quotes_to_units_tables/ovn_araby_only	
ovn_arb_mon_genie	ovn_arb_mon_genie
ovn_arb_mon_sea_nymph	ovn_arb_mon_sea_nymph
ovn_arb_mon_desert_spirit	ovn_arb_mon_desert_spirit
ovn_arb_mon_fire_efreet	ovn_arb_mon_fire_efreet
ovn_arb_mon_tempest_djinn	ovn_arb_mon_tempest_djinn
ovn_arb_mon_cannon_elephant	ovn_arb_mon_war_elephant_ror_2
ovn_arb_mon_elephant	ovn_arb_mon_elephant
ovn_arb_mon_war_elephant	ovn_arb_mon_war_elephant
ovn_arb_mon_war_elephant_ror_1	ovn_arb_mon_war_elephant_ror_1
ovn_game_hint_lore_of_djinns_unit	ovn_arb_cha_magician_desert_0
ovn_game_hint_lore_of_djinns_unit	ovn_arb_cha_magician_desert_1
ovn_game_hint_lore_of_djinns_unit	ovn_arb_cha_magician_desert_2
wh2_main_game_hint_lore_of_fire_unit	ovn_arb_cha_magician_fire_0
wh2_main_game_hint_lore_of_fire_unit	ovn_arb_cha_magician_fire_1
wh2_main_game_hint_lore_of_fire_unit	ovn_arb_cha_magician_fire_2
wh2_main_game_hint_lore_of_heavens_unit	ovn_arb_cha_magician_heavens_0
wh2_main_game_hint_lore_of_heavens_unit	ovn_arb_cha_magician_heavens_1
wh2_main_game_hint_lore_of_heavens_unit	ovn_arb_cha_magician_heavens_2
wh2_main_game_hint_lore_of_life_unit	ovn_arb_cha_magician_life_0
wh2_main_game_hint_lore_of_life_unit	ovn_arb_cha_magician_life_1
wh2_main_game_hint_lore_of_life_unit	ovn_arb_cha_magician_life_2
ovn_game_hint_lore_of_djinns_unit	ovn_arb_cha_vizier_desert_0
ovn_game_hint_lore_of_djinns_unit	ovn_arb_cha_vizier_desert_1
ovn_game_hint_lore_of_djinns_unit	ovn_arb_cha_vizier_desert_2
wh2_main_game_hint_lore_of_fire_unit	ovn_arb_cha_vizier_fire_0
wh2_main_game_hint_lore_of_fire_unit	ovn_arb_cha_vizier_fire_1
wh2_main_game_hint_lore_of_fire_unit	ovn_arb_cha_vizier_fire_2
wh2_main_game_hint_lore_of_heavens_unit	ovn_arb_cha_vizier_heavens_0
wh2_main_game_hint_lore_of_heavens_unit	ovn_arb_cha_vizier_heavens_1
wh2_main_game_hint_lore_of_heavens_unit	ovn_arb_cha_vizier_heavens_2
wh2_main_game_hint_lore_of_life_unit	ovn_arb_cha_vizier_life_0
wh2_main_game_hint_lore_of_life_unit	ovn_arb_cha_vizier_life_1
wh2_main_game_hint_lore_of_life_unit	ovn_arb_cha_vizier_life_2
